def_normalized_key,def_occurrences,def_distinct_values,def_groups,def_projects,def_sample_values,def_sample_files,def_severity
163_path,8,4,PATH_IO,UNKNOWN,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\80_VETF_Supportive_Sort\VETF_VIA_Supportive_Runtime_HardGate_Bridge.py.freeze.lock.json || C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\70_VRN_Rules\VIS_VRN_TWOfficialYFinance_v06051.py.freeze.lock.json || C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\80_VETF_Supportive_Sort\VETF_VIS_VRN_HistoricalValidationPolicy_v0100.py.freeze.lock.json || C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\_via_production_readiness_runs,03_ThreeRoundMatrix.json; NEXUSCORE_ACTION_REGISTRY.json; NEXUSCORE_FULL_SUPPORTIVE_REGISTRY.json; NEXUSCORE_SCANONLY_INVENTORY.json,HIGH
164_path,8,4,PATH_IO,UNKNOWN,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\80_VETF_Supportive_Sort\VETF_VIS_InstallHealthRegistry_VRN_v02143.json || C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\80_VETF_Supportive_Sort\__pycache__\VETF_VIA_HardGate_SealEngine.cpython-313.pyc || C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\Invoke-VeritasNexusCore.ps1 || C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\_via_project_review_runs,03_ThreeRoundMatrix.json; NEXUSCORE_ACTION_REGISTRY.json; NEXUSCORE_FULL_SUPPORTIVE_REGISTRY.json; NEXUSCORE_SCANONLY_INVENTORY.json,HIGH
165_path,8,4,PATH_IO,UNKNOWN,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\80_VETF_Supportive_Sort\VETF_VIS_InstallHealthRegistry_VRN_v02143.json.freeze.lock.json || C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\80_VETF_Supportive_Sort\__pycache__\VETF_VIA_RegistryCore_v1.cpython-313.pyc || C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\Read_Me_VeritasNexusCore.md || C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\_via_real_vrn_candidate_runs,03_ThreeRoundMatrix.json; NEXUSCORE_ACTION_REGISTRY.json; NEXUSCORE_FULL_SUPPORTIVE_REGISTRY.json; NEXUSCORE_SCANONLY_INVENTORY.json,HIGH
10_category,7,4,GENERAL,UNKNOWN,勞動 Labor || _nexuscore_ai_onboarding || _supportive_nexuscore_onboarding || SequentialFix,NEXUSCORE_FULL_SUPPORTIVE_REGISTRY.json; NEXUSCORE_SCANONLY_INVENTORY.json; ROUND_1_PANORAMA_FINDINGS.json; ROUND_2_PANORAMA_FINDINGS.json; macro_indicator_registry (1).json,HIGH
11_category,7,4,GENERAL,UNKNOWN,勞動 Labor || _nexuscore_ai_onboarding || _supportive_nexuscore_onboarding || SequentialFix,NEXUSCORE_FULL_SUPPORTIVE_REGISTRY.json; NEXUSCORE_SCANONLY_INVENTORY.json; ROUND_1_PANORAMA_FINDINGS.json; ROUND_2_PANORAMA_FINDINGS.json; macro_indicator_registry (1).json,HIGH
12_category,7,4,GENERAL,UNKNOWN,勞動 Labor || _nexuscore_ai_onboarding || _supportive_nexuscore_onboarding || SequentialFix,NEXUSCORE_FULL_SUPPORTIVE_REGISTRY.json; NEXUSCORE_SCANONLY_INVENTORY.json; ROUND_1_PANORAMA_FINDINGS.json; ROUND_2_PANORAMA_FINDINGS.json; macro_indicator_registry (1).json,HIGH
anchors,7,4,GENERAL,VIA,HOME-HEAD/STYLE/BRAND/HERO/LAUNCHER/STATUS/FOOT/SCRIPT || AEM-HEAD/STYLE/BRAND/IO/TABS/MAIN/PG-MATRIX/PG-RANK/PG-TREND/PG-FLOW/FOOT/SCRIPT || VAP-HEAD / VAP-STYLE / VAP-BRAND / VAP-IO / VAP-TABS || S07-HEAD / S07-STYLE / S07-TOPBAR / S07-SEL / S07-META,VIA_AutoPlot_Console (1).html; VIA_HomeLauncher_Optimized_Consolidated_v1_1_0.html; VIA_Main (2).html; VIA_Main.html; VIA_TW_ActiveETF_Matrix.html; VIA_TW_Resonance_Stock_Stack (13).html; VIA_TW_Resonance_Stock_Stack (17).html,HIGH
fs_h1,7,4,GENERAL,VIA,"clamp(15px,1.45vw+7px,21px) || clamp(15px, 1.45vw + 7px, 21px) || clamp(15px, 1.45vw + 7px, 21px); || clamp(15px, 1.45vw + 7px, 21px); /* brand */",VIA_AutoPlot_Console (1).html; VIA_AutoPlot_Console (2).html; VIA_AutoPlot_Console (3).html; VIA_TW_ActiveETF_Matrix.html,HIGH
const_g,7,4,GENERAL,VIA;VPL,"_groupOf(pid); || 5,cell=58,pad=30,w=g*cell+pad*2,h=g*cell+pad*2; || Math.round(208 - 100*t); || Math.round(232 - 74*t);",VIA_P1_MarketOverview.html; VIA_P2_GlobalFlow.html; VIA_TW_Resonance_Stock_Stack (13).html; VIA_TW_Resonance_Stock_Stack (17).html; VeritasPulse_App (3).html,HIGH
source_type,7,4,SCHEMA_FIELD,VIA;VRN,"notion_page_beginning || str(source.get(""source_type"", """")).strip().lower() || str(row.get(""source_type"", row.get(""Source Type"", row.get(""source"", """")))).strip().lower() || source_type,",VETF_VIS_VRN_HistoricalValidationPolicy_v0100.py; VIA_Governance_Unified_NotionBeginning_Detailed_Anchored_SSOT.yaml; VIS_VRN_HistoricalValidationPolicy_v0100.py,HIGH
yfinance,7,4,DATA_SOURCE;MARKET_UNIVERSE,UNKNOWN;VIA,NNNN.TW or NNNN.TWO || 2330.TW || 6488.TWO || ✅ FinMind=❌ twstock=✅,NEXUSCORE_EXTERNAL_BRIDGE_REPORT.html; VIA_Governance_Unified_NotionBeginning_Detailed_Anchored_SSOT.yaml,HIGH
report_dir,7,4,PATH_IO,UNKNOWN;VDF;VEF,"os.path.join(OUTPUT_DIR, ""reports"") || Join-Path $def_PARAM_OUT_ROOT ""_supportive_reports"" || Join-Path $def_RUN_ROOT ""report"" || Join-Path $def_PARAM_OUT_ROOT ""_reports""",Invoke-NexusCore-ExternalBridge.ps1; Invoke-VIA-UltimateEngineForge-AIO-v060.ps1; Invoke-VeritasNexusCore.ps1; VDF_MDL001_TWEquityEngine.py,HIGH
report_html,7,4,ENGINE;PATH_IO,UNKNOWN;VDF;VRN,"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\_vdf_reports\supportive_tools\VDF_SupportiveTools_Implement_Report.html || C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\_vrn_project_runs\RUN_20260525_122725_VRN_V224_SUPPORTIVE_TRIPASS_PATCH\VRN_Supportive_TriPass_GapPatch_v2_2_4.html || Join-Path $def_PARAM_REPORT_DIR ""NEXUSCORE_EXTERNAL_BRIDGE_REPORT.html"" || Join-Path $def_PARAM_OUT_DIR ""CELERITAS_SAFE_ADAPTER_REPORT.html""",Invoke-NexusCore-CeleritasSafeAdapter.ps1; Invoke-NexusCore-ExternalBridge.ps1; VDF_SupportiveTools_Implement_Summary.json; VIS_VRN_SupportiveGapRegistry_v0224.json,HIGH
10_toolname,7,4,GENERAL,UNKNOWN,NEXUSCORE_AI_ONBOARDING || Invoke-VeritasNexusCore.ps1 || VeritasCeleritas || Invoke-VeritasNexusCore.snapshot,BRIDGE_STATUS_NORMALIZED.json; NEXUSCORE_ACTION_REGISTRY.json; NEXUSCORE_FULL_SUPPORTIVE_REGISTRY.json; NEXUSCORE_SCANONLY_INVENTORY.json,HIGH
11_toolname,7,4,GENERAL,UNKNOWN,NEXUSCORE_PROGRESS || NEXUSCORE_ACTION_RUNNER_PATCH_REPORT || VIA_EnvManager || Read_Me_VeritasNexusCore.snapshot,BRIDGE_STATUS_NORMALIZED.json; NEXUSCORE_ACTION_REGISTRY.json; NEXUSCORE_FULL_SUPPORTIVE_REGISTRY.json; NEXUSCORE_SCANONLY_INVENTORY.json,HIGH
12_toolname,7,4,ENGINE;GENERAL,UNKNOWN,NEXUSCORE_TOOL_MATRIX || NEXUSCORE_ACTION_RUNNER_PATCH_REPORT || VeritasAegisNexus || supportive_modules_onboarding_report,BRIDGE_STATUS_NORMALIZED.json; NEXUSCORE_ACTION_REGISTRY.json; NEXUSCORE_FULL_SUPPORTIVE_REGISTRY.json; NEXUSCORE_SCANONLY_INVENTORY.json,HIGH
3_role,7,4,GENERAL;PATH_IO,UNKNOWN,"Report, matrix, dashboard, validation output || Acceleration, cache, wheelhouse, retry, download and install planning || Registry or canonical tool data || Celeritas Acceleration / Cache / Download Helper",NEXUSCORE_FULL_SUPPORTIVE_REGISTRY.json; NEXUSCORE_TOOL_MATRIX.json; supportive_modules_registry.json,HIGH
note,6,4,GOVERNANCE_POLICY;MARKET_UNIVERSE;VERSION_RELEASE,VIA;VIS;VRN,Static validation only; pwsh runtime was not available in the sandbox. Raw destructive command names are split/escaped inside scanner strings. || Append-only seal log. Add a new object to Releases on each seal; never edit or remove prior entries. || 6 支前缺模組(Celeritas/Aegis/SSOT/RuntimeInjector/RegistryCore/Runtime_Bridge)已在你的 supportive_module 內確認存在；其中 Active-ETF 只實際用到 Celeritas/Aegis/SSOT(建議)+EnvManager(必)。 || Supportive HardGate passed; VRN bootstrap report may be post-sealed by adapter.,VIA_ActiveETF_PackList (1).json; VIA_ActiveETF_PackList.json; VIA_SafePolyglotOptimizer_v0102_StaticValidation.json; VIA_VRN_HardGate_Bridge_Seal.json; VIS_ReleaseRegistry.json,HIGH
const_raw,6,4,GENERAL;MARKET_UNIVERSE,VIA,"_rawFor((window.RUNTIME&&RUNTIME.context&&RUNTIME.context.ticker)||'2330.TW', genOHLCV(500, 20260520, 980)); || _rawFor(p.dataset.sym, genOHLCV(500, Math.abs(seed)+1, start)); || genOHLCV(500, Math.abs(seed)+1, start); || genOHLCV(500, 20260520, 980);",VIA_TW_Resonance_Stock_Stack (13).html; VIA_TW_Resonance_Stock_Stack (17).html,HIGH
const_trend,6,4,GENERAL,VIA,i * 18; || i * 0.55; || i / 120 * 200; // +200 over period || 100 + i*1.8;,VIA_P4B_USMacroPart2.html; VIA_P7_TWFocus.html; VIA_TW_Resonance_Stock_Stack (13).html; VIA_TW_Resonance_Stock_Stack (17).html,HIGH
const_col,6,4,GENERAL,VIA;VPL,"v=>{const t=v/100;return `rgb(${lerp(235,94,t)},${lerp(237,112,t)},${lerp(222,50,t)})`}; || { co:""#c96b5a"", bl:""#4c78a8"", vi:""#7a6daa"", gn:""#5a9e6f"", am:""#c4943a"", tl:""#439a9a"", ro:""#b05580"" }; || row.closest("".ind-col""); || { co:""#c96b5a"", bl:""#4c78a8"", vi:""#7a6daa"", gn:""#5a9e6f"", am:""#c4943a"", tl:""#439a9a"" };",VIA_P1_MarketOverview.html; VIA_P2_GlobalFlow.html; VIA_P4B_USMacroPart2.html; VIA_P7_TWFocus.html; VeritasPulse_App (3).html,HIGH
const_pts,6,4,GENERAL,VIA;VPL,"P.stakeholders.map(s=>{const x=pad+(s.interest-0.5)/5*(w-2*pad),y=h-pad-(s.power-0.5)/5*(h-2*pad);return `<circle cx=""${x}"" cy=""${y}"" r=""13"" fill=""var(--blue)"" opacity=""0.85"" stroke=""#fff"" stroke-width=""1.5""/><text x=""${x}"" y=""${y+26}"" font... || arr.map((v, i) => v != null ? xOf(i) + "","" + yOfP(v) : null).filter(Boolean); || s.d.map((v,i) => xOf(i)+"",""+yOf(v)); || points.map((p,i) => xOf(i)+"",""+yOf(p.v));",VIA_P1_MarketOverview.html; VIA_P2_GlobalFlow.html; VIA_P7_TWFocus.html; VeritasPulse_App (3).html,HIGH
ok,6,4,GENERAL,UNKNOWN;VIA, || #138a42 || #138a42; || 8,Invoke-VIA-PolyglotCheckTestRepair-v0101.ps1; NEXUSCORE_MASTER_ORCHESTRATOR_REPORT.json; VeritasNexusCore_FREEZE_Report_v03.html,HIGH
registry,6,4,ENGINE;GENERAL;PATH_IO,UNKNOWN;VIA;VRN,"[ordered]@{ || importlib.import_module(""VIA_RegistryCore_v1"") || def_load_adapter_registry(registry_path) || READY",Invoke-VIA-SafePolyglotOptimizer-AIO-v0102.ps1; NEXUSCORE_AI_ONBOARDING.md; VETF_VIA_Supportive_Runtime_HardGate_Bridge.py; VIA_Supportive_Runtime_HardGate_Bridge.py; VIS_VRN_NewReportCompatibilityGate_v01.py,HIGH
1_targetenv,6,4,GENERAL,UNKNOWN,via_core_312 || via_vdf_312 || PowerShell 7 || document/report,NEXUSCORE_ENVMANAGER_PLAN.json; NEXUSCORE_FULL_SUPPORTIVE_REGISTRY.json; NEXUSCORE_TOOL_MATRIX.json,HIGH
accent,5,4,GENERAL,VIA;VPL,"var(--bl) || ${S.accent}"">${S.sec}</div><div class=""c"">${items.length} app${items.length>1?'s':''}</div></div><div class=""tiles"">` || ${S.accent}"">${S.sec}</div><div class=""c"">${items.length} app${items.length>1?'s':''}</div></div><div class=""tiles"" data-key=""tiles:${S.sec}"">` || #5e7032",VIA_HomeLauncher_Optimized_Consolidated_v1_1_0.html; VIA_Main (2).html; VIA_Main.html; VeritasPulse_App (3).html,HIGH
theme,5,4,VISUAL_LOCK,VIA,"VIA Visual Lock v1<br> || { mode:""light"", paper:""#fff"", panel:""#fafaf8"", grid:""rgba(30,29,26,0.06)"", text:""#1e1d1a"", text2:""#6b6860"", text3:""#9c9890"" }, || 台股技術 + 風險 + 產業 + AI 知識管理整合工作台 || 美國財政現金流 + 國債持有結構 + DXY 綜合模型",VIA_AutoPlot_Console (1).html; VIA_P4B_USMacroPart2.html; VIA_P7_TWFocus.html; VIA_TW_Resonance_Stock_Stack (13).html; VIA_TW_Resonance_Stock_Stack (17).html,HIGH
const_hi,5,4,GENERAL,VIA,"+(Math.max(open,close)*(1+rng()*0.012)).toFixed(2); || Math.max(...allInt) * 1.15; || 8200; || Math.max(...allVals)*1.002;",VIA_P2_GlobalFlow.html; VIA_P4B_USMacroPart2.html; VIA_TW_Resonance_Stock_Stack (13).html; VIA_TW_Resonance_Stock_Stack (17).html,HIGH
const_cur,5,4,GENERAL;MARKET_UNIVERSE,VIA;VPL,"RUNTIME.view_state.fundamentals[card].grow !== false; || ()=>mode==='ind'?indRows(HOLD.etfs.find(e=>e.ticker===curTk)):mode==='sub'?aggRows([...sub]):aggRows(); || i===nextIdx; || (await r.json()).current; const [ico,desc]=wxDesc(cur.weather_code);",VIA_ActiveETF_Console (8).html; VIA_TW_Resonance_Stock_Stack (13).html; VIA_TW_Resonance_Stock_Stack (17).html; VeritasPulse_App (3).html,HIGH
panel,5,4,GENERAL,UNKNOWN;VIA;VPL,#fbfaf7 || #ffffff || #ffffff; || #111827,VIA_SafePolyglotOptimizer_Matrix_Report.html; VeritasPulse_App (3).html; governance_report.html,HIGH
blue,5,4,GENERAL,UNKNOWN;VPL,#35506b || #1e40af || #1e40af; || #4c78a8,NEXUSCORE_PROGRESS.html; VeritasPulse_App (3).html; governance_report.html,HIGH
red,5,4,GENERAL,UNKNOWN;VIA;VPL,#c0392b || #b91c1c || #b91c1c; || #ef4444,VIA_SafePolyglotOptimizer_Matrix_Report.html; VeritasPulse_App (3).html; governance_report.html,HIGH
49_tooltype,5,4,SCHEMA_FIELD,UNKNOWN,other || html || json || pycache,NEXUSCORE_ACTION_REGISTRY.json; NEXUSCORE_FULL_SUPPORTIVE_REGISTRY.json; NEXUSCORE_SCANONLY_INVENTORY.json,HIGH
50_tooltype,5,4,SCHEMA_FIELD,UNKNOWN,other || csv || json || pycache,NEXUSCORE_ACTION_REGISTRY.json; NEXUSCORE_FULL_SUPPORTIVE_REGISTRY.json; NEXUSCORE_SCANONLY_INVENTORY.json,HIGH
67_tooltype,5,4,SCHEMA_FIELD,UNKNOWN,other || html || powershell || pycache,NEXUSCORE_ACTION_REGISTRY.json; NEXUSCORE_FULL_SUPPORTIVE_REGISTRY.json; NEXUSCORE_SCANONLY_INVENTORY.json,HIGH
94_tooltype,5,4,SCHEMA_FIELD,UNKNOWN,other || json || python || pycache,NEXUSCORE_ACTION_REGISTRY.json; NEXUSCORE_FULL_SUPPORTIVE_REGISTRY.json; NEXUSCORE_SCANONLY_INVENTORY.json,HIGH
95_tooltype,5,4,SCHEMA_FIELD,UNKNOWN,other || powershell || json || pycache,NEXUSCORE_ACTION_REGISTRY.json; NEXUSCORE_FULL_SUPPORTIVE_REGISTRY.json; NEXUSCORE_SCANONLY_INVENTORY.json,HIGH
96_tooltype,5,4,SCHEMA_FIELD,UNKNOWN,other || json || python || pycache,NEXUSCORE_ACTION_REGISTRY.json; NEXUSCORE_FULL_SUPPORTIVE_REGISTRY.json; NEXUSCORE_SCANONLY_INVENTORY.json,HIGH
97_tooltype,5,4,SCHEMA_FIELD,UNKNOWN,other || powershell || json || pycache,NEXUSCORE_ACTION_REGISTRY.json; NEXUSCORE_FULL_SUPPORTIVE_REGISTRY.json; NEXUSCORE_SCANONLY_INVENTORY.json,HIGH
98_tooltype,5,4,SCHEMA_FIELD,UNKNOWN,other || json || python || pycache,NEXUSCORE_ACTION_REGISTRY.json; NEXUSCORE_FULL_SUPPORTIVE_REGISTRY.json; NEXUSCORE_SCANONLY_INVENTORY.json,HIGH
99_tooltype,5,4,SCHEMA_FIELD,UNKNOWN,other || powershell || json || pycache,NEXUSCORE_ACTION_REGISTRY.json; NEXUSCORE_FULL_SUPPORTIVE_REGISTRY.json; NEXUSCORE_SCANONLY_INVENTORY.json,HIGH
100_tooltype,5,4,SCHEMA_FIELD,UNKNOWN,other || json || python || pycache,NEXUSCORE_ACTION_REGISTRY.json; NEXUSCORE_FULL_SUPPORTIVE_REGISTRY.json; NEXUSCORE_SCANONLY_INVENTORY.json,HIGH
101_tooltype,5,4,SCHEMA_FIELD,UNKNOWN,other || powershell || json || pycache,NEXUSCORE_ACTION_REGISTRY.json; NEXUSCORE_FULL_SUPPORTIVE_REGISTRY.json; NEXUSCORE_SCANONLY_INVENTORY.json,HIGH
102_tooltype,5,4,SCHEMA_FIELD,UNKNOWN,other || json || python || pycache,NEXUSCORE_ACTION_REGISTRY.json; NEXUSCORE_FULL_SUPPORTIVE_REGISTRY.json; NEXUSCORE_SCANONLY_INVENTORY.json,HIGH
103_tooltype,5,4,SCHEMA_FIELD,UNKNOWN,other || powershell || json || pycache,NEXUSCORE_ACTION_REGISTRY.json; NEXUSCORE_FULL_SUPPORTIVE_REGISTRY.json; NEXUSCORE_SCANONLY_INVENTORY.json,HIGH
6_detail,5,4,ENGINE;GENERAL;PATH_IO;VISUAL_LOCK,UNKNOWN,IMPORT_OK:json || IMPORT_OK:pathlib || Status : NEXUSCORE_EXTERNAL_BRIDGE_REVIEW_REQUIRED | Risk : MEDIUM | OK : 0 | WARN : 1 | FAIL : 0 | Install : LOCKED | HTML : C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\_nexuscore_external_bridge\RUN_20260610_2... || ================================================================================ | Status : CELERITAS_SAFE_ADAPTER_READY | Risk : LOW | OK : 5 | WARN : 0 | FAIL : 0 | Install : LOCKED | HTML : C:\Users\tonyk\Downloads\VeritasIntelligenceAna...,NEXUSCORE_EXTERNAL_BRIDGE_PATCH_REPORT.json; NEXUSCORE_VALIDATE_REPORT.json; ROUND_1_VALIDATE.json; ROUND_2_VALIDATE.json,HIGH
7_detail,5,4,ENGINE;GENERAL;PATH_IO;VISUAL_LOCK,UNKNOWN,IMPORT_OK:pathlib || IMPORT_OK:subprocess || Status : NEXUSCORE_EXTERNAL_BRIDGE_REVIEW_REQUIRED | Risk : MEDIUM | OK : 2 | WARN : 1 | FAIL : 0 | Install : LOCKED | HTML : C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\_nexuscore_external_bridge\RUN_20260610_2... || Install remains locked. No pip install executed.,NEXUSCORE_EXTERNAL_BRIDGE_PATCH_REPORT.json; NEXUSCORE_VALIDATE_REPORT.json; ROUND_1_VALIDATE.json; ROUND_2_VALIDATE.json,HIGH
html_path,4,4,PATH_IO,UNKNOWN;VIA;VPF,"M07_DashboardRenderer(self.cfg).render( || Path(__file__).resolve().parent / ""vif_gui.html"" || renderer.render(daily_df, nday_df) || output_dir / ""VIA_Panorama_PatchPlan.html""",VIA_Panorama_AST_RuntimeInjector.py; VIF_AllInOne (6).py; VPF_MDL005_族群輪動.py; VPF_MDL006_個股訊號 (2).py,HIGH
parse,4,4,GENERAL;PATH_IO;VISUAL_LOCK,VEF,"0 only proves syntactic correctness, not semantic equivalence. || 0 already → record-only, skip rewrite. || 0 gated fix pipeline || 0 gate: a repaired file is ""sealed"" ONLY if its parse error count is exactly 0.",Veritas_EngineForge_Methodology_v2.docx,HIGH
p0,4,4,ENGINE;GENERAL;PATH_IO,VEF,"PowerShell parse error || missing exact entry / missing project root || 0 || parser failure, destructive risk, missing required contract, invalid JSON, engine launch failure.",VEF.docx,HIGH
p1,4,4,ENGINE;GENERAL;GOVERNANCE_POLICY,VEF,"Python compile review || engine/module import problem || unguarded destructive pattern || dependency missing, dry-run failure, unsafe side effect risk.",VEF.docx,HIGH
凌晨1,4,4,GENERAL,VEF,00 || 12 || 13 || 16,VEF.docx,HIGH
image_file,4,4,PATH_IO,VDF;VIA,VIA_VDF_Console_overview.png || VIA_VDF_Console_product.png || VIA_Main_governance_tabs_prompt.png || VIA_ActiveETF_mx.png,VIA_ActiveETF_mx.png; VIA_Main_governance_tabs_prompt.png; VIA_VDF_Console_overview.png; VIA_VDF_Console_product.png,HIGH
const_all,4,4,GENERAL,VIA,"cur(),cnt=s=>all.filter(r=>r.status===s).length,mA=all.filter(r=>r.dP>0).sort((a,b)=>b.dP-a.dP)[0],mR=all.filter(r=>r.dP<0).sort((a,b)=>a.dP-b.dP)[0]; || longY.concat(shortY,spread);const SC=niceScale(Math.min(...all,0)-0.3,Math.max(...all)+0.3,5); || p.mfg.concat(p.nm);let lo=Math.floor(Math.min(...all,50)-1),hi=Math.ceil(Math.max(...all,50)+1); || [...soma, ...rrp, ...tga];",VIA_ActiveETF_Console (8).html; VIA_Macro_Master_Template.html; VIA_P4B_USMacroPart2.html; VIA_Yield_Curve_Spread.html,HIGH
const_data,4,4,GENERAL;MARKET_UNIVERSE,VIA,"{""meta"":{""title"":""主動式 ETF 績效與資金流排行"",""subtitle"":""Active ETF Performance & Fund-Flow Ranking"",""source"":""VDF · TWSE/TPEx 日 ADJ CLOSE + 投信申贖淨流 (SAMPLE)"",""generated"":""2026-06-02"",""dates"":[""2025-06-12"",""2025-06-13"",""2025-06-16"",""2025-06-17"",""2025... || []; || COUNTRY_DATA[window]; || [",VIA_ETF_Performance_Ranking.html; VIA_P1_MarketOverview.html; VIA_P2_GlobalFlow.html; VIA_P7_TWFocus.html,HIGH
data_id,4,4,GENERAL,VPL,${n.id} || ${n.node_key} || ${e.src} || ${e.dst},VeritasPulse_App (3).html,HIGH
sources,4,4,DATA_SOURCE;MARKET_UNIVERSE,VIA,VDF_D2 (TWSE/MOPS/akshare/yfinance) · TA-Lib 60+ · VAP heritage · TW UP=red · √252 annualized · Bloomberg Beta convention || VDF_D2_FREDEngine (DGS · GFDEBTN · WTREGEN · WALCL · RRPONTSYD · IORB) · TIC · DTS · CFTC · BEA || VDF_D2_YFinanceEngine · VDF_D2_FREDEngine · VDF_D2_GlobalUniverseEngine · VDF_D5_DuckDB || VDF_D2_DataEngines · VDF_D2_FREDEngine · VDF_D2_YFinanceEngine · VDF_D2_GlobalUniverseEngine · VDF_D5_DuckDB,VIA_P1_MarketOverview.html; VIA_P2_GlobalFlow.html; VIA_P4B_USMacroPart2.html; VIA_P7_TWFocus.html,HIGH
launcherpath,4,4,PATH_IO,VIA," || Join-Path $SupportiveModulesRoot ""Invoke-VIA-SafePolyglotOptimizer.ps1"" || """" || def_WriteLauncher -ScriptPath $MyInvocation.MyCommand.Path",Invoke-VIA-SafePolyglotOptimizer-AIO-v0102.ps1,HIGH
run_dir,4,4,PATH_IO,VIA;VIS,"C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\supportive_module\_supportive_index_seal_runs\SUPPORTIVE_FINAL_INDEX_SEAL_V032_20260523_085959 || Join-Path $def_ROOT ""_via_project_finish_runs\$def_RUN_ID"" || Join-Path $def_ROOT ""_via_panorama_hardgate_runs\$def_RUN_ID"" || C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\_via_safe_polyglot_optimizer\RUN_20260619_132723_VIA_SAFE_POLYGLOT_OPTIMIZER_v0102",Invoke-VIA-FinishProject-SafeFast.ps1; Invoke-VIA-PanoramaHardGateSafeFix.ps1; VIA_SAFE_POLYGLOT_OPTIMIZER_REGISTRY.json; VIS_Supportive_Module_Index.json,HIGH
system_name,56,3,ENGINE;GENERAL,UNKNOWN;VDF;VIA;VIS;VRN,"""🏛️ VDF MDL001 - TW Equity Engine (Full-Market)"" || VeritasNexusCore || VERITAS INTELLIGENCE ANALYTICS",VDF_MDL001_TWEquityEngine.py; VDF_NexusCore_ModuleRegistry.json; VIA_RuntimeImportFirewall.py.freeze.lock.json; VIA_Runtime_Bridge_All_in_One.py.freeze.lock.json; VIA_Supportive_Runtime_HardGate_Bridge.py.freeze.lock.json,MEDIUM
2_risk,41,3,GOVERNANCE_POLICY,UNKNOWN,LOW || MEDIUM || HIGH,05_Top25FailuresSolutions.json; NEXUSCORE_ACTION_RUNNER_MATRIX.json; NEXUSCORE_EXTERNAL_BRIDGE_REPORT.json; NEXUSCORE_HARDGATE_REPORT.json; NEXUSCORE_SCANONLY_INVENTORY.json,MEDIUM
top,30,3,GENERAL,UNKNOWN;VIA,bot - gap; || top*1.08;const span=top-bot||1; || 0;,NEXUSCORE_ACTION_RUNNER_MATRIX.html; NEXUSCORE_HARDGATE_REPORT.html; NEXUSCORE_SCANONLY_INVENTORY.html; VIA_Macro_GDP_Identity_Console (2).html; VIA_TW_Resonance_Stock_Stack (13).html; VIA_TW_Resonance_Stock_Stack (17).html,MEDIUM
showlegend,28,3,GENERAL,VIA,"false, || false || false, name:'drawdown',",VIA_TW_Resonance_Stock_Stack (13).html; VIA_TW_Resonance_Stock_Stack (17).html,MEDIUM
tl,27,3,GENERAL,VIA,#439a9a || #439a9a; --tl-l:#c8e6e6; || #439a9a;--tl-l:#c8e6e6;,VIA_HomeLauncher_Optimized_Consolidated_v1_1_0.html; VIA_Main (2).html; VIA_Main.html; VIA_P2_GlobalFlow.html; VIA_P4B_USMacroPart2.html; VIA_P7_TWFocus.html; VIA_TW_Resonance_Stock_Stack (13).html; VIA_TW_Resonance_Stock_Stack (17).html,MEDIUM
editable,26,3,GENERAL;VISUAL_LOCK,VIA,"All other regex, broker/rating/target price aliases, financial accounts, rescue rules, UI, I/O, and environment || false || true",VIA_Governance_Unified_NotionBeginning_Detailed_Anchored_SSOT.yaml,MEDIUM
co,25,3,GENERAL,VIA,#c96b5a || #c96b5a; --co-l:#f5d0c8; || #c96b5a;--co-l:#f5d0c8;,VIA_HomeLauncher_Optimized_Consolidated_v1_1_0.html; VIA_Main (2).html; VIA_Main.html; VIA_P2_GlobalFlow.html; VIA_P4B_USMacroPart2.html; VIA_P7_TWFocus.html; VIA_TW_Resonance_Stock_Stack (13).html; VIA_TW_Resonance_Stock_Stack (17).html,MEDIUM
dn,21,3,GENERAL,VIA,#2e7d52 || #5a9e6f || #5a9e6f; /* GREEN for down */,VIA_HomeLauncher_Optimized_Consolidated_v1_1_0.html; VIA_Main (2).html; VIA_Main.html; VIA_P7_TWFocus.html; VIA_TW_Resonance_Stock_Stack (13).html; VIA_TW_Resonance_Stock_Stack (17).html,MEDIUM
