"ModuleNo","ModuleId","Name","Role","Phase","SourcePath","TargetPath","Extension","SizeBytes","Sha256","Status","Risk"
"76","VRN_MDL076","VRN_MDL076_vrn_final_handover_commit_blocker_seal_v0615702__GOVERNANCE__v0615702.json","GOVERNANCE","MDL009_PLUS_SUPPORT","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\_vrn_verified_modules\VRN_VERIFIED_MODULES_20260609_002934\numbered_modules\VRN_MDL076_vrn_final_handover_commit_blocker_seal_v0615702__GOVERNANCE__v0615702.json","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\_registry\verified_numbered_modules\VRN_MDL076_vrn_final_handover_commit_blocker_seal_v0615702__GOVERNANCE__v0615702.json",".json","3215","07ea7c816ae2d9f55b843591f7cc0cfc41a8a207afdbe110b773b93c546df2c1","OK","LOW"
"77","VRN_MDL077","VRN_MDL077_vrn_final_handover_commit_blocker_seal_v0615702__GOVERNANCE__v0615702.json","GOVERNANCE","MDL009_PLUS_SUPPORT","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\_vrn_verified_modules\VRN_VERIFIED_MODULES_20260609_002934\numbered_modules\VRN_MDL077_vrn_final_handover_commit_blocker_seal_v0615702__GOVERNANCE__v0615702.json","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\_registry\verified_numbered_modules\VRN_MDL077_vrn_final_handover_commit_blocker_seal_v0615702__GOVERNANCE__v0615702.json",".json","3215","07ea7c816ae2d9f55b843591f7cc0cfc41a8a207afdbe110b773b93c546df2c1","OK","LOW"
"78","VRN_MDL078","VRN_MDL078_vrn_triflow_closeout_seal_final_ops_console_v0615701__GOVERNANCE__v0615701.json","GOVERNANCE","MDL009_PLUS_SUPPORT","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\_vrn_verified_modules\VRN_VERIFIED_MODULES_20260609_002934\numbered_modules\VRN_MDL078_vrn_triflow_closeout_seal_final_ops_console_v0615701__GOVERNANCE__v0615701.json","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\_registry\verified_numbered_modules\VRN_MDL078_vrn_triflow_closeout_seal_final_ops_console_v0615701__GOVERNANCE__v0615701.json",".json","2705","92463bfa10f487e4f2b7d1b0fd7896907dcd78af865ece543a2f6a3ce23fc98b","OK","LOW"
"79","VRN_MDL079","VRN_MDL079_vrn_commit_candidate_pack_approval_gate_v061570__MODULE__v061570.json","MODULE","MDL009_PLUS_SUPPORT","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\_vrn_verified_modules\VRN_VERIFIED_MODULES_20260609_002934\numbered_modules\VRN_MDL079_vrn_commit_candidate_pack_approval_gate_v061570__MODULE__v061570.json","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\_registry\verified_numbered_modules\VRN_MDL079_vrn_commit_candidate_pack_approval_gate_v061570__MODULE__v061570.json",".json","4253","98a004c77ef10e5052423579326938d59c4a044ce421e940f2ca4cd89dce2c77","OK","LOW"
"80","VRN_MDL080","VRN_MDL080_VRN_NoSummarizer_CanonicalFix_v02_Report__REPORT__v02.json","REPORT","MDL009_PLUS_SUPPORT","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\_vrn_verified_modules\VRN_VERIFIED_MODULES_20260609_002934\numbered_modules\VRN_MDL080_VRN_NoSummarizer_CanonicalFix_v02_Report__REPORT__v02.json","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\_registry\verified_numbered_modules\VRN_MDL080_VRN_NoSummarizer_CanonicalFix_v02_Report__REPORT__v02.json",".json","6269","d3a6c26c1c6f84bef231bd6513004fdfee36f07419384e5b231d7eae032257e7","OK","LOW"
"81","VRN_MDL081","VRN_MDL081_VIS_VRN_NewReportCompatibilityGate_v01__REPORT__v01.py","REPORT","MDL009_PLUS_SUPPORT","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\_vrn_verified_modules\VRN_VERIFIED_MODULES_20260609_002934\numbered_modules\VRN_MDL081_VIS_VRN_NewReportCompatibilityGate_v01__REPORT__v01.py","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\_registry\verified_numbered_modules\VRN_MDL081_VIS_VRN_NewReportCompatibilityGate_v01__REPORT__v01.py",".py","9416","57cd5fefc8702c043a7b87230bdf7c84cb4823cee708e44b6efa559cedb20387","OK","LOW"
"82","VRN_MDL082","VRN_MDL082_VRN_TwoWeek_Panorama_AST_Anchor_SyncPlan__GOVERNANCE__v0_0.json","GOVERNANCE","MDL009_PLUS_SUPPORT","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\_vrn_verified_modules\VRN_VERIFIED_MODULES_20260609_002934\numbered_modules\VRN_MDL082_VRN_TwoWeek_Panorama_AST_Anchor_SyncPlan__GOVERNANCE__v0_0.json","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\_registry\verified_numbered_modules\VRN_MDL082_VRN_TwoWeek_Panorama_AST_Anchor_SyncPlan__GOVERNANCE__v0_0.json",".json","9784326","c4fb370e1d260fcd33c50a525fa3ca43f9f4851cc9af6b728be2fc9362c84a12","OK","LOW"
"83","VRN_MDL083","VRN_MDL083_VRN_v141D6C_Source_Hygiene_NoHang__BRIDGE__v141D6C.py","BRIDGE","MDL009_PLUS_SUPPORT","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\_vrn_verified_modules\VRN_VERIFIED_MODULES_20260609_002934\numbered_modules\VRN_MDL083_VRN_v141D6C_Source_Hygiene_NoHang__BRIDGE__v141D6C.py","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\_registry\verified_numbered_modules\VRN_MDL083_VRN_v141D6C_Source_Hygiene_NoHang__BRIDGE__v141D6C.py",".py","31973","7508c3637241d96e48c39f293139eda93b79853b3cdf8fcb8602c3e501c9bd5c","OK","LOW"
"84","VRN_MDL084","VRN_MDL084_VRN_v141A_ReadOnly_Consumer_Loader__MODULE__v141A.py","MODULE","MDL009_PLUS_SUPPORT","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\_vrn_verified_modules\VRN_VERIFIED_MODULES_20260609_002934\numbered_modules\VRN_MDL084_VRN_v141A_ReadOnly_Consumer_Loader__MODULE__v141A.py","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\_registry\verified_numbered_modules\VRN_MDL084_VRN_v141A_ReadOnly_Consumer_Loader__MODULE__v141A.py",".py","20879","9aaab7d8466c428ae17d6aba09c30ddc47b5fbee438ea3d6ba4e9fb74d7683cf","OK","LOW"
"85","VRN_MDL085","VRN_MDL085_VRN_v139P_PostBridge_Rescore__MODULE__v139P.py","MODULE","MDL009_PLUS_SUPPORT","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\_vrn_verified_modules\VRN_VERIFIED_MODULES_20260609_002934\numbered_modules\VRN_MDL085_VRN_v139P_PostBridge_Rescore__MODULE__v139P.py","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\_registry\verified_numbered_modules\VRN_MDL085_VRN_v139P_PostBridge_Rescore__MODULE__v139P.py",".py","21177","edbd70a22f22ce0ad3a8bc41733c1ecd389211182aa13be5f150ebc53cefd001","OK","LOW"
"86","VRN_MDL086","VRN_MDL086_VRN_v139M_RedFalsePositiveCrusher__MODULE__v139M.py","MODULE","MDL009_PLUS_SUPPORT","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\_vrn_verified_modules\VRN_VERIFIED_MODULES_20260609_002934\numbered_modules\VRN_MDL086_VRN_v139M_RedFalsePositiveCrusher__MODULE__v139M.py","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\_registry\verified_numbered_modules\VRN_MDL086_VRN_v139M_RedFalsePositiveCrusher__MODULE__v139M.py",".py","25172","9a91a4197d281e530463cd8257b42458ac4a973c92e4f9ed31b4e1d751a43452","OK","LOW"
"87","VRN_MDL087","VRN_MDL087_VRN_v139K_DualCore_Coverage_Analyzer__MODULE__v139K.py","MODULE","MDL009_PLUS_SUPPORT","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\_vrn_verified_modules\VRN_VERIFIED_MODULES_20260609_002934\numbered_modules\VRN_MDL087_VRN_v139K_DualCore_Coverage_Analyzer__MODULE__v139K.py","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\_registry\verified_numbered_modules\VRN_MDL087_VRN_v139K_DualCore_Coverage_Analyzer__MODULE__v139K.py",".py","22443","eedb40a08a2583aef9f959b10658ad9ef25a7b55ab26de9fc14ead60ab0f7076","OK","LOW"
"88","VRN_MDL088","VRN_MDL088_vrn_yfinance_header_canonical_refresh_v06147__DATA_SOURCE__v06147.py","DATA_SOURCE","MDL009_PLUS_SUPPORT","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\_vrn_verified_modules\VRN_VERIFIED_MODULES_20260609_002934\numbered_modules\VRN_MDL088_vrn_yfinance_header_canonical_refresh_v06147__DATA_SOURCE__v06147.py","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\_registry\verified_numbered_modules\VRN_MDL088_vrn_yfinance_header_canonical_refresh_v06147__DATA_SOURCE__v06147.py",".py","31830","5069e7b469ad2647cb869946e7866ecd9fff637a8d9eb6426633d31fa504af0a","OK","LOW"
"89","VRN_MDL089","VRN_MDL089_VRN_v141D8A2_SafeGetter_SourceManifestExtractor__MODULE__v141D8A2.json","MODULE","MDL009_PLUS_SUPPORT","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\_vrn_verified_modules\VRN_VERIFIED_MODULES_20260609_002934\numbered_modules\VRN_MDL089_VRN_v141D8A2_SafeGetter_SourceManifestExtractor__MODULE__v141D8A2.json","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\_registry\verified_numbered_modules\VRN_MDL089_VRN_v141D8A2_SafeGetter_SourceManifestExtractor__MODULE__v141D8A2.json",".json","676098","81def7d6a444ae49764e92ab156bb4382d70440ef89c419e44e6cb3bfade6281","OK","LOW"
"90","VRN_MDL090","VRN_MDL090_VRN_v141D8A3_SingleQuoted_SourceManifestExtractor__MODULE__v141D8A3.json","MODULE","MDL009_PLUS_SUPPORT","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\_vrn_verified_modules\VRN_VERIFIED_MODULES_20260609_002934\numbered_modules\VRN_MDL090_VRN_v141D8A3_SingleQuoted_SourceManifestExtractor__MODULE__v141D8A3.json","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\_registry\verified_numbered_modules\VRN_MDL090_VRN_v141D8A3_SingleQuoted_SourceManifestExtractor__MODULE__v141D8A3.json",".json","673699","24cd885f0ea6ffc459f2e8ebf1e8a6b54b0c0f57ba9a5197aae5c2f1c0d92dc2","OK","LOW"
"91","VRN_MDL091","VRN_MDL091_VRN_v139M_RedFalsePositiveCrusher_Matrix__MODULE__v139M.json","MODULE","MDL009_PLUS_SUPPORT","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\_vrn_verified_modules\VRN_VERIFIED_MODULES_20260609_002934\numbered_modules\VRN_MDL091_VRN_v139M_RedFalsePositiveCrusher_Matrix__MODULE__v139M.json","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\_registry\verified_numbered_modules\VRN_MDL091_VRN_v139M_RedFalsePositiveCrusher_Matrix__MODULE__v139M.json",".json","339338","466d81458dc60d3b634fdbc4c9fb9d2c527df27d2800a87b4cb71e9a3a1baed6","OK","LOW"
"92","VRN_MDL092","VRN_MDL092_vrn_post_commit_production_seal_v0615721__GOVERNANCE__v0615721.py","GOVERNANCE","MDL009_PLUS_SUPPORT","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\_vrn_verified_modules\VRN_VERIFIED_MODULES_20260609_002934\numbered_modules\VRN_MDL092_vrn_post_commit_production_seal_v0615721__GOVERNANCE__v0615721.py","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\_registry\verified_numbered_modules\VRN_MDL092_vrn_post_commit_production_seal_v0615721__GOVERNANCE__v0615721.py",".py","19615","f4bfcbc309acb6a50752c39b82a57cabfc86dc26ddac324a660170f3f6e52fb0","OK","LOW"
"93","VRN_MDL093","VRN_MDL093_vrn_triflow_closeout_seal_final_ops_console_v0615701__GOVERNANCE__v0615701.py","GOVERNANCE","MDL009_PLUS_SUPPORT","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\_vrn_verified_modules\VRN_VERIFIED_MODULES_20260609_002934\numbered_modules\VRN_MDL093_vrn_triflow_closeout_seal_final_ops_console_v0615701__GOVERNANCE__v0615701.py","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\_registry\verified_numbered_modules\VRN_MDL093_vrn_triflow_closeout_seal_final_ops_console_v0615701__GOVERNANCE__v0615701.py",".py","25791","966dd5fef75965431bcb4211775b151919c64087aacdd39df441d83409b90a73","OK","LOW"
"94","VRN_MDL094","VRN_MDL094_vrn_commit_candidate_pack_approval_gate_v061570__MODULE__v061570.py","MODULE","MDL009_PLUS_SUPPORT","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\_vrn_verified_modules\VRN_VERIFIED_MODULES_20260609_002934\numbered_modules\VRN_MDL094_vrn_commit_candidate_pack_approval_gate_v061570__MODULE__v061570.py","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\_registry\verified_numbered_modules\VRN_MDL094_vrn_commit_candidate_pack_approval_gate_v061570__MODULE__v061570.py",".py","21093","131a66141746ba198e145e908128399057b9a1ff312a43ebff58b4e0e0abdb0a","OK","LOW"
"95","VRN_MDL095","VRN_MDL095_worker_A_row_level_join_scan_v06154__CORE__v06154.py","CORE","MDL009_PLUS_SUPPORT","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\_vrn_verified_modules\VRN_VERIFIED_MODULES_20260609_002934\numbered_modules\VRN_MDL095_worker_A_row_level_join_scan_v06154__CORE__v06154.py","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\_registry\verified_numbered_modules\VRN_MDL095_worker_A_row_level_join_scan_v06154__CORE__v06154.py",".py","11518","05e326580f132310038313e0e2d9d8944dd87b71966756c8cda932f383d2ea7d","OK","LOW"
"96","VRN_MDL096","VRN_MDL096_worker_C_basicinfo_marketdata_scan_v06154__BASICINFO__v06154.py","BASICINFO","MDL009_PLUS_SUPPORT","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\_vrn_verified_modules\VRN_VERIFIED_MODULES_20260609_002934\numbered_modules\VRN_MDL096_worker_C_basicinfo_marketdata_scan_v06154__BASICINFO__v06154.py","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\_registry\verified_numbered_modules\VRN_MDL096_worker_C_basicinfo_marketdata_scan_v06154__BASICINFO__v06154.py",".py","11664","1b2dbab6f0209ead49a19087d89c5775e7855c3a25a475c51597b9a33fb3591e","OK","LOW"
"97","VRN_MDL097","VRN_MDL097_vrn_financialdata_final_evidence_selector_v06149__FINANCIALDATA__v06149.py","FINANCIALDATA","MDL009_PLUS_SUPPORT","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\_vrn_verified_modules\VRN_VERIFIED_MODULES_20260609_002934\numbered_modules\VRN_MDL097_vrn_financialdata_final_evidence_selector_v06149__FINANCIALDATA__v06149.py","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\_registry\verified_numbered_modules\VRN_MDL097_vrn_financialdata_final_evidence_selector_v06149__FINANCIALDATA__v06149.py",".py","31920","8a20c4943eaa95af137c708f6baa712142fa9b7e7c0562c84de1679d8feb6712","OK","LOW"
"98","VRN_MDL098","VRN_MDL098_vrn_financial_ssot_complete_trust_integration_v0608__FINANCIALDATA__v0608.py","FINANCIALDATA","MDL009_PLUS_SUPPORT","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\_vrn_verified_modules\VRN_VERIFIED_MODULES_20260609_002934\numbered_modules\VRN_MDL098_vrn_financial_ssot_complete_trust_integration_v0608__FINANCIALDATA__v0608.py","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\_registry\verified_numbered_modules\VRN_MDL098_vrn_financial_ssot_complete_trust_integration_v0608__FINANCIALDATA__v0608.py",".py","45080","a0a191e7fbcbdfec07f131c77fad666c4df317bb0c96c91508abc24d03b0eb65","OK","LOW"
"99","VRN_MDL099","VRN_MDL099_vrn_valuation_method_precision_rebind_v0593__MODULE__v0593.py","MODULE","MDL009_PLUS_SUPPORT","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\_vrn_verified_modules\VRN_VERIFIED_MODULES_20260609_002934\numbered_modules\VRN_MDL099_vrn_valuation_method_precision_rebind_v0593__MODULE__v0593.py","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\_registry\verified_numbered_modules\VRN_MDL099_vrn_valuation_method_precision_rebind_v0593__MODULE__v0593.py",".py","33279","c7733e261cc8f06518d0665e07dcee3dc61c1a962c8fba54e8ca776db66029f3","OK","LOW"
"100","VRN_MDL100","VRN_MDL100_VRN_Complete_ProjectDryRun__MODULE__v0_0.json","MODULE","MDL009_PLUS_SUPPORT","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\_vrn_verified_modules\VRN_VERIFIED_MODULES_20260609_002934\numbered_modules\VRN_MDL100_VRN_Complete_ProjectDryRun__MODULE__v0_0.json","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\_registry\verified_numbered_modules\VRN_MDL100_VRN_Complete_ProjectDryRun__MODULE__v0_0.json",".json","2474215","bb4013780c193a8f13f3025f922df6089bee4b68b316be6152d85218902bb8c7","OK","LOW"
"101","VRN_MDL101","VRN_MDL101_VRN_22File_DryRun_AIO__MODULE__v0_0.json","MODULE","MDL009_PLUS_SUPPORT","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\_vrn_verified_modules\VRN_VERIFIED_MODULES_20260609_002934\numbered_modules\VRN_MDL101_VRN_22File_DryRun_AIO__MODULE__v0_0.json","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\_registry\verified_numbered_modules\VRN_MDL101_VRN_22File_DryRun_AIO__MODULE__v0_0.json",".json","49884","ee868010dc31b4665571cfc2e801e43341e1905874c6daf17ff40a96f324f66b","OK","LOW"
"102","VRN_MDL102","VRN_MDL102_VRN_v0101_ThreeProcess_DryRun__SUPPORT_RULE__v0101.json","SUPPORT_RULE","MDL009_PLUS_SUPPORT","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\_vrn_verified_modules\VRN_VERIFIED_MODULES_20260609_002934\numbered_modules\VRN_MDL102_VRN_v0101_ThreeProcess_DryRun__SUPPORT_RULE__v0101.json","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\_registry\verified_numbered_modules\VRN_MDL102_VRN_v0101_ThreeProcess_DryRun__SUPPORT_RULE__v0101.json",".json","950424","26a4ed1681b33345361dcffc30a628516dc4cb4d09a1f12502657204ffa6afb4","OK","LOW"
"103","VRN_MDL103","VRN_MDL103_VRN_SupportiveImportLoaderFix__MODULE__v0_0.json","MODULE","MDL009_PLUS_SUPPORT","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\_vrn_verified_modules\VRN_VERIFIED_MODULES_20260609_002934\numbered_modules\VRN_MDL103_VRN_SupportiveImportLoaderFix__MODULE__v0_0.json","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\_registry\verified_numbered_modules\VRN_MDL103_VRN_SupportiveImportLoaderFix__MODULE__v0_0.json",".json","27603","b04351a2bcfc9c867d668339f531bde3f901b5cf5f341c4a57cf85a5a95c06de","OK","LOW"
"104","VRN_MDL104","VRN_MDL104_VRN_SupportiveImportLoaderFix__MODULE__v0_0.json","MODULE","MDL009_PLUS_SUPPORT","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\_vrn_verified_modules\VRN_VERIFIED_MODULES_20260609_002934\numbered_modules\VRN_MDL104_VRN_SupportiveImportLoaderFix__MODULE__v0_0.json","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\_registry\verified_numbered_modules\VRN_MDL104_VRN_SupportiveImportLoaderFix__MODULE__v0_0.json",".json","27603","b04351a2bcfc9c867d668339f531bde3f901b5cf5f341c4a57cf85a5a95c06de","OK","LOW"
"105","VRN_MDL105","VRN_MDL105_VRN_DoNotRedo_DoneRegistry__SUPPORT_RULE__v0_0.json","SUPPORT_RULE","MDL009_PLUS_SUPPORT","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\_vrn_verified_modules\VRN_VERIFIED_MODULES_20260609_002934\numbered_modules\VRN_MDL105_VRN_DoNotRedo_DoneRegistry__SUPPORT_RULE__v0_0.json","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\_registry\verified_numbered_modules\VRN_MDL105_VRN_DoNotRedo_DoneRegistry__SUPPORT_RULE__v0_0.json",".json","10828","d1a126dfe6924e40884b7d8eb37efc93312787ad4dbda3ded7c5cfb82bfe7be1","OK","LOW"
"106","VRN_MDL106","VRN_MDL106_VRN_HistoricalValidationPolicy_Gate__GOVERNANCE__v0_0.json","GOVERNANCE","MDL009_PLUS_SUPPORT","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\_vrn_verified_modules\VRN_VERIFIED_MODULES_20260609_002934\numbered_modules\VRN_MDL106_VRN_HistoricalValidationPolicy_Gate__GOVERNANCE__v0_0.json","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\_registry\verified_numbered_modules\VRN_MDL106_VRN_HistoricalValidationPolicy_Gate__GOVERNANCE__v0_0.json",".json","19430","d39e117be007279adb39f187f78f566c1b206e05b295a1caacbba68a338e5b7c","OK","LOW"
"107","VRN_MDL107","VRN_MDL107_VRN_CONFIDENCE_METHOD_POLICY__SUPPORT_RULE__v0_0.json","SUPPORT_RULE","MDL009_PLUS_SUPPORT","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\_vrn_verified_modules\VRN_VERIFIED_MODULES_20260609_002934\numbered_modules\VRN_MDL107_VRN_CONFIDENCE_METHOD_POLICY__SUPPORT_RULE__v0_0.json","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\_registry\verified_numbered_modules\VRN_MDL107_VRN_CONFIDENCE_METHOD_POLICY__SUPPORT_RULE__v0_0.json",".json","5342","bc3a8722e7b7e7c50388229fcf390f7893ed2dd817bd67ce7b99166646123a10","OK","LOW"
"108","VRN_MDL108","VRN_MDL108_VRN_CONFIDENCE_METHOD_POLICY__SUPPORT_RULE__v0_0.json","SUPPORT_RULE","MDL009_PLUS_SUPPORT","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\_vrn_verified_modules\VRN_VERIFIED_MODULES_20260609_002934\numbered_modules\VRN_MDL108_VRN_CONFIDENCE_METHOD_POLICY__SUPPORT_RULE__v0_0.json","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\_registry\verified_numbered_modules\VRN_MDL108_VRN_CONFIDENCE_METHOD_POLICY__SUPPORT_RULE__v0_0.json",".json","5342","a23fceef178f4d42d6e166f1d4875bbb9e4a485c403e51e4b7dd76e48fc9649d","OK","LOW"
"109","VRN_MDL109","VRN_MDL109_VRN_CONFIDENCE_METHOD_POLICY__SUPPORT_RULE__v0_0.json","SUPPORT_RULE","MDL009_PLUS_SUPPORT","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\_vrn_verified_modules\VRN_VERIFIED_MODULES_20260609_002934\numbered_modules\VRN_MDL109_VRN_CONFIDENCE_METHOD_POLICY__SUPPORT_RULE__v0_0.json","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\_registry\verified_numbered_modules\VRN_MDL109_VRN_CONFIDENCE_METHOD_POLICY__SUPPORT_RULE__v0_0.json",".json","5342","dc62933e1afb0f639d054a3bc336b3a4ea0e266be5e7068209c0504e41fab90b","OK","LOW"
"110","VRN_MDL110","VRN_MDL110_VRN_MasterRouteLock_FinancialReconcile__FINANCIALDATA__v0_0.json","FINANCIALDATA","MDL009_PLUS_SUPPORT","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\_vrn_verified_modules\VRN_VERIFIED_MODULES_20260609_002934\numbered_modules\VRN_MDL110_VRN_MasterRouteLock_FinancialReconcile__FINANCIALDATA__v0_0.json","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\_registry\verified_numbered_modules\VRN_MDL110_VRN_MasterRouteLock_FinancialReconcile__FINANCIALDATA__v0_0.json",".json","1573477","02b6b12cef46c1e1f23fb7897588de6bd9216cef1049309dda9f2f1d26bc17b6","OK","LOW"
"111","VRN_MDL111","VRN_MDL111_VRN_v140S_Master_Release_And_Remaining_Handler__GOVERNANCE__v140S.json","GOVERNANCE","MDL009_PLUS_SUPPORT","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\_vrn_verified_modules\VRN_VERIFIED_MODULES_20260609_002934\numbered_modules\VRN_MDL111_VRN_v140S_Master_Release_And_Remaining_Handler__GOVERNANCE__v140S.json","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\_registry\verified_numbered_modules\VRN_MDL111_VRN_v140S_Master_Release_And_Remaining_Handler__GOVERNANCE__v140S.json",".json","15234","d68c14612049e7bde24d4d42cfc3b43106f1c726157ab0186c2e76e3997504ab","OK","LOW"
"112","VRN_MDL112","VRN_MDL112_VRN_v140M_Dashboard_ReadOnly_Launch_Pack__BASICINFO__v140M.json","BASICINFO","MDL009_PLUS_SUPPORT","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\_vrn_verified_modules\VRN_VERIFIED_MODULES_20260609_002934\numbered_modules\VRN_MDL112_VRN_v140M_Dashboard_ReadOnly_Launch_Pack__BASICINFO__v140M.json","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\_registry\verified_numbered_modules\VRN_MDL112_VRN_v140M_Dashboard_ReadOnly_Launch_Pack__BASICINFO__v140M.json",".json","41762","8b89c48554f0fca3555cc0163c5209689be23ff3291efd48af53d6af664ec728","OK","LOW"
"113","VRN_MDL113","VRN_MDL113_VRN_v140M_Dashboard_ReadOnly_Launch_Pack__REPORT__v140M.json","REPORT","MDL009_PLUS_SUPPORT","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\_vrn_verified_modules\VRN_VERIFIED_MODULES_20260609_002934\numbered_modules\VRN_MDL113_VRN_v140M_Dashboard_ReadOnly_Launch_Pack__REPORT__v140M.json","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\_registry\verified_numbered_modules\VRN_MDL113_VRN_v140M_Dashboard_ReadOnly_Launch_Pack__REPORT__v140M.json",".json","43634","6ac76b61981bfb4ab43aee5b46cc12a722aa191837689a1adbcd2bda8f5f7d43","OK","LOW"
