bucket,name,extension,bytes,modified,path,sha256
Other,page50_img2__DUP__6AE15597A0.png,.png,5675,2025-12-11 16:38:58,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\_duplicates_review\PNG_MISC_STYLE_UNKNOWN_SIZE\page50_img2__DUP__6AE15597A0.png,
Other,page50_img3__DUP__A49130AA57.png,.png,34357,2025-12-11 16:38:58,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\_duplicates_review\PNG_MISC_STYLE_UNKNOWN_SIZE\page50_img3__DUP__A49130AA57.png,
Other,page50_img4__DUP__A7B9453E1A.png,.png,625,2025-12-11 16:38:58,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\_duplicates_review\PNG_MISC_STYLE_UNKNOWN_SIZE\page50_img4__DUP__A7B9453E1A.png,
Other,page50_img5__DUP__8E2B573CB6.png,.png,705,2025-12-11 16:38:58,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\_duplicates_review\PNG_MISC_STYLE_UNKNOWN_SIZE\page50_img5__DUP__8E2B573CB6.png,
Other,page50_img6__DUP__5CE2252D1D.png,.png,732,2025-12-11 16:38:58,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\_duplicates_review\PNG_MISC_STYLE_UNKNOWN_SIZE\page50_img6__DUP__5CE2252D1D.png,
Other,page50_img7__DUP__D527136841.png,.png,695,2025-12-11 16:38:58,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\_duplicates_review\PNG_MISC_STYLE_UNKNOWN_SIZE\page50_img7__DUP__D527136841.png,
Other,page50_img8__DUP__D965B12600.png,.png,533,2025-12-11 16:38:58,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\_duplicates_review\PNG_MISC_STYLE_UNKNOWN_SIZE\page50_img8__DUP__D965B12600.png,
Other,page51_img1__DUP__18E1D284FB.png,.png,70447,2025-12-11 16:38:58,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\_duplicates_review\PNG_MISC_STYLE_UNKNOWN_SIZE\page51_img1__DUP__18E1D284FB.png,
Other,page51_img2__DUP__6AE15597A0.png,.png,5675,2025-12-11 16:38:58,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\_duplicates_review\PNG_MISC_STYLE_UNKNOWN_SIZE\page51_img2__DUP__6AE15597A0.png,
Other,page51_img3__DUP__D965B12600.png,.png,533,2025-12-11 16:38:58,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\_duplicates_review\PNG_MISC_STYLE_UNKNOWN_SIZE\page51_img3__DUP__D965B12600.png,
Other,page51_img4__DUP__D965B12600.png,.png,533,2025-12-11 16:38:58,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\_duplicates_review\PNG_MISC_STYLE_UNKNOWN_SIZE\page51_img4__DUP__D965B12600.png,
Other,page52_img1__DUP__18E1D284FB.png,.png,70447,2025-12-11 16:38:58,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\_duplicates_review\PNG_MISC_STYLE_UNKNOWN_SIZE\page52_img1__DUP__18E1D284FB.png,
Other,page52_img2__DUP__6AE15597A0.png,.png,5675,2025-12-11 16:38:58,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\_duplicates_review\PNG_MISC_STYLE_UNKNOWN_SIZE\page52_img2__DUP__6AE15597A0.png,
Other,page52_img3__DUP__DBE21D13BB.png,.png,57606,2025-12-11 16:38:58,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\_duplicates_review\PNG_MISC_STYLE_UNKNOWN_SIZE\page52_img3__DUP__DBE21D13BB.png,
Other,page53_img1__DUP__18E1D284FB.png,.png,70447,2025-12-11 16:38:58,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\_duplicates_review\PNG_MISC_STYLE_UNKNOWN_SIZE\page53_img1__DUP__18E1D284FB.png,
Other,page53_img2__DUP__6AE15597A0.png,.png,5675,2025-12-11 16:38:58,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\_duplicates_review\PNG_MISC_STYLE_UNKNOWN_SIZE\page53_img2__DUP__6AE15597A0.png,
Other,page53_img3__DUP__D965B12600.png,.png,533,2025-12-11 16:38:58,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\_duplicates_review\PNG_MISC_STYLE_UNKNOWN_SIZE\page53_img3__DUP__D965B12600.png,
Other,page54_img1__DUP__18E1D284FB.png,.png,70447,2025-12-11 16:38:58,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\_duplicates_review\PNG_MISC_STYLE_UNKNOWN_SIZE\page54_img1__DUP__18E1D284FB.png,
Other,page54_img2__DUP__6AE15597A0.png,.png,5675,2025-12-11 16:38:58,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\_duplicates_review\PNG_MISC_STYLE_UNKNOWN_SIZE\page54_img2__DUP__6AE15597A0.png,
Other,page55_img1__DUP__18E1D284FB.png,.png,70447,2025-12-11 16:38:58,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\_duplicates_review\PNG_MISC_STYLE_UNKNOWN_SIZE\page55_img1__DUP__18E1D284FB.png,
Other,page55_img2__DUP__6AE15597A0.png,.png,5675,2025-12-11 16:38:58,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\_duplicates_review\PNG_MISC_STYLE_UNKNOWN_SIZE\page55_img2__DUP__6AE15597A0.png,
Other,page55_img3__DUP__D965B12600.png,.png,533,2025-12-11 16:38:58,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\_duplicates_review\PNG_MISC_STYLE_UNKNOWN_SIZE\page55_img3__DUP__D965B12600.png,
Other,page56_img1__DUP__18E1D284FB.png,.png,70447,2025-12-11 16:38:58,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\_duplicates_review\PNG_MISC_STYLE_UNKNOWN_SIZE\page56_img1__DUP__18E1D284FB.png,
Other,page56_img2__DUP__6AE15597A0.png,.png,5675,2025-12-11 16:38:58,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\_duplicates_review\PNG_MISC_STYLE_UNKNOWN_SIZE\page56_img2__DUP__6AE15597A0.png,
Other,page57_img1__DUP__18E1D284FB.png,.png,70447,2025-12-11 16:38:58,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\_duplicates_review\PNG_MISC_STYLE_UNKNOWN_SIZE\page57_img1__DUP__18E1D284FB.png,
Other,page57_img2__DUP__6AE15597A0.png,.png,5675,2025-12-11 16:38:58,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\_duplicates_review\PNG_MISC_STYLE_UNKNOWN_SIZE\page57_img2__DUP__6AE15597A0.png,
Other,page5_img10__DUP__D8C81437BD.png,.png,1551,2025-12-11 16:37:48,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\_duplicates_review\PNG_MISC_STYLE_UNKNOWN_SIZE\page5_img10__DUP__D8C81437BD.png,
Other,page5_img11__DUP__2FC553C948.png,.png,481,2025-12-11 16:37:48,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\_duplicates_review\PNG_MISC_STYLE_UNKNOWN_SIZE\page5_img11__DUP__2FC553C948.png,
Other,page5_img12__DUP__70C238B484.png,.png,785,2025-12-11 16:37:48,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\_duplicates_review\PNG_MISC_STYLE_UNKNOWN_SIZE\page5_img12__DUP__70C238B484.png,
Other,page5_img13__DUP__4B4FEC05A8.png,.png,721,2025-12-11 16:37:48,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\_duplicates_review\PNG_MISC_STYLE_UNKNOWN_SIZE\page5_img13__DUP__4B4FEC05A8.png,
Other,page5_img14__DUP__1601359955.png,.png,1476,2025-12-11 16:37:48,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\_duplicates_review\PNG_MISC_STYLE_UNKNOWN_SIZE\page5_img14__DUP__1601359955.png,
Other,page5_img1__DUP__01EE109EA8.png,.png,177129,2025-12-11 16:38:18,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\_duplicates_review\PNG_MISC_STYLE_UNKNOWN_SIZE\page5_img1__DUP__01EE109EA8.png,
Other,page5_img1__DUP__13C579E7A2.png,.png,96049,2025-12-11 16:39:10,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\_duplicates_review\PNG_MISC_STYLE_UNKNOWN_SIZE\page5_img1__DUP__13C579E7A2.png,
Other,page5_img1__DUP__1657632998.png,.png,230939,2025-12-11 16:38:44,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\_duplicates_review\PNG_MISC_STYLE_UNKNOWN_SIZE\page5_img1__DUP__1657632998.png,
Other,page5_img1__DUP__18E1D284FB.png,.png,70447,2025-12-11 16:38:54,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\_duplicates_review\PNG_MISC_STYLE_UNKNOWN_SIZE\page5_img1__DUP__18E1D284FB.png,
Other,page5_img1__DUP__1F1A1D7346.png,.png,15405,2025-12-11 16:38:34,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\_duplicates_review\PNG_MISC_STYLE_UNKNOWN_SIZE\page5_img1__DUP__1F1A1D7346.png,
Other,page5_img1__DUP__367BCE42C6.png,.png,22430,2025-12-11 16:38:48,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\_duplicates_review\PNG_MISC_STYLE_UNKNOWN_SIZE\page5_img1__DUP__367BCE42C6.png,
Other,page5_img1__DUP__3FDCE51F83.png,.png,12052,2025-12-11 16:38:32,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\_duplicates_review\PNG_MISC_STYLE_UNKNOWN_SIZE\page5_img1__DUP__3FDCE51F83.png,
Other,page5_img1__DUP__5B72332186.png,.png,17219,2025-12-11 16:38:24,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\_duplicates_review\PNG_MISC_STYLE_UNKNOWN_SIZE\page5_img1__DUP__5B72332186.png,
Other,page5_img1__DUP__67C44DFA05.png,.png,138049,2025-12-11 16:37:48,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\_duplicates_review\PNG_MISC_STYLE_UNKNOWN_SIZE\page5_img1__DUP__67C44DFA05.png,
Other,page5_img1__DUP__6A7F564D24.png,.png,29415,2025-12-11 16:39:00,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\_duplicates_review\PNG_MISC_STYLE_UNKNOWN_SIZE\page5_img1__DUP__6A7F564D24.png,
Other,page5_img1__DUP__6BC0E7A253.png,.png,16584,2025-12-11 16:38:28,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\_duplicates_review\PNG_MISC_STYLE_UNKNOWN_SIZE\page5_img1__DUP__6BC0E7A253.png,
Other,page5_img1__DUP__70A3C65E8B.png,.png,11923,2025-12-11 16:38:46,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\_duplicates_review\PNG_MISC_STYLE_UNKNOWN_SIZE\page5_img1__DUP__70A3C65E8B.png,
Other,page5_img1__DUP__7D6284B556.png,.png,15265,2025-12-11 16:38:38,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\_duplicates_review\PNG_MISC_STYLE_UNKNOWN_SIZE\page5_img1__DUP__7D6284B556.png,
Other,page5_img1__DUP__930CD63F64.png,.png,19444,2025-12-11 16:38:12,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\_duplicates_review\PNG_MISC_STYLE_UNKNOWN_SIZE\page5_img1__DUP__930CD63F64.png,
Other,page5_img1__DUP__9EBE849D1C.png,.png,45598,2025-12-11 16:38:12,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\_duplicates_review\PNG_MISC_STYLE_UNKNOWN_SIZE\page5_img1__DUP__9EBE849D1C.png,
Other,page5_img1__DUP__AFD26B605F.png,.png,25364,2025-12-11 16:37:50,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\_duplicates_review\PNG_MISC_STYLE_UNKNOWN_SIZE\page5_img1__DUP__AFD26B605F.png,
Other,page5_img1__DUP__BDA5205D04.png,.png,240100,2025-12-11 16:39:10,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\_duplicates_review\PNG_MISC_STYLE_UNKNOWN_SIZE\page5_img1__DUP__BDA5205D04.png,
Other,page5_img1__DUP__BDFFE8ADB4.png,.png,14066,2025-12-11 16:38:26,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\_duplicates_review\PNG_MISC_STYLE_UNKNOWN_SIZE\page5_img1__DUP__BDFFE8ADB4.png,
Other,page5_img1__DUP__C68A64FF61.png,.png,15555,2025-12-11 16:38:16,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\_duplicates_review\PNG_MISC_STYLE_UNKNOWN_SIZE\page5_img1__DUP__C68A64FF61.png,
Other,page5_img1__DUP__E16A56221B.png,.png,83671,2025-12-11 16:38:36,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\_duplicates_review\PNG_MISC_STYLE_UNKNOWN_SIZE\page5_img1__DUP__E16A56221B.png,
Other,page5_img1__DUP__E61AD3963A.png,.png,28350,2025-12-11 16:37:58,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\_duplicates_review\PNG_MISC_STYLE_UNKNOWN_SIZE\page5_img1__DUP__E61AD3963A.png,
Other,page5_img1__DUP__E8A95ACE50.png,.png,16116,2025-12-11 16:37:54,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\_duplicates_review\PNG_MISC_STYLE_UNKNOWN_SIZE\page5_img1__DUP__E8A95ACE50.png,
Other,page5_img1__DUP__EE23EB7BA2.png,.png,11698,2025-12-11 16:37:48,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\_duplicates_review\PNG_MISC_STYLE_UNKNOWN_SIZE\page5_img1__DUP__EE23EB7BA2.png,
Other,page5_img2__DUP__025AB5AA2A.png,.png,15617,2025-12-11 16:37:54,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\_duplicates_review\PNG_MISC_STYLE_UNKNOWN_SIZE\page5_img2__DUP__025AB5AA2A.png,
Other,page5_img2__DUP__0330772E0A.png,.png,22441,2025-12-11 16:38:44,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\_duplicates_review\PNG_MISC_STYLE_UNKNOWN_SIZE\page5_img2__DUP__0330772E0A.png,
Other,page5_img2__DUP__042D4AC7F4.png,.png,23692,2025-12-11 16:37:48,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\_duplicates_review\PNG_MISC_STYLE_UNKNOWN_SIZE\page5_img2__DUP__042D4AC7F4.png,
Other,page5_img2__DUP__078DFD6BBB.png,.png,275026,2025-12-11 16:37:52,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\_duplicates_review\PNG_MISC_STYLE_UNKNOWN_SIZE\page5_img2__DUP__078DFD6BBB.png,
Other,page5_img2__DUP__1AEE2BF604.png,.png,2521,2025-12-11 16:38:46,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\_duplicates_review\PNG_MISC_STYLE_UNKNOWN_SIZE\page5_img2__DUP__1AEE2BF604.png,
Other,page5_img2__DUP__49B9DEB4A7.png,.png,89426,2025-12-11 16:39:10,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\_duplicates_review\PNG_MISC_STYLE_UNKNOWN_SIZE\page5_img2__DUP__49B9DEB4A7.png,
Other,page5_img2__DUP__4CFA7C9698.png,.png,13032,2025-12-11 16:38:12,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\_duplicates_review\PNG_MISC_STYLE_UNKNOWN_SIZE\page5_img2__DUP__4CFA7C9698.png,
Other,page5_img2__DUP__52352BECFB.png,.png,15774,2025-12-11 16:38:40,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\_duplicates_review\PNG_MISC_STYLE_UNKNOWN_SIZE\page5_img2__DUP__52352BECFB.png,
Other,page5_img2__DUP__52731EFDC6.png,.png,1371,2025-12-11 16:37:48,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\_duplicates_review\PNG_MISC_STYLE_UNKNOWN_SIZE\page5_img2__DUP__52731EFDC6.png,
Other,page5_img2__DUP__52E235D352.png,.png,19059,2025-12-11 16:39:10,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\_duplicates_review\PNG_MISC_STYLE_UNKNOWN_SIZE\page5_img2__DUP__52E235D352.png,
Other,page5_img2__DUP__5399F6D953.png,.png,17400,2025-12-11 16:37:48,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\_duplicates_review\PNG_MISC_STYLE_UNKNOWN_SIZE\page5_img2__DUP__5399F6D953.png,
Other,page5_img2__DUP__60039C1868.png,.png,24145,2025-12-11 16:39:00,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\_duplicates_review\PNG_MISC_STYLE_UNKNOWN_SIZE\page5_img2__DUP__60039C1868.png,
Other,page5_img2__DUP__6AE15597A0.png,.png,5675,2025-12-11 16:38:54,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\_duplicates_review\PNG_MISC_STYLE_UNKNOWN_SIZE\page5_img2__DUP__6AE15597A0.png,
Other,page5_img2__DUP__6D1861AF11.png,.png,2473,2025-12-11 16:38:48,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\_duplicates_review\PNG_MISC_STYLE_UNKNOWN_SIZE\page5_img2__DUP__6D1861AF11.png,
Other,page5_img2__DUP__88EC5310D9.png,.png,108660,2025-12-11 16:38:36,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\_duplicates_review\PNG_MISC_STYLE_UNKNOWN_SIZE\page5_img2__DUP__88EC5310D9.png,
Other,page5_img2__DUP__C3C0DE948A.png,.png,118,2025-12-11 16:38:16,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\_duplicates_review\PNG_MISC_STYLE_UNKNOWN_SIZE\page5_img2__DUP__C3C0DE948A.png,
Other,page5_img2__DUP__CCBACBD929.png,.png,10513,2025-12-11 16:37:58,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\_duplicates_review\PNG_MISC_STYLE_UNKNOWN_SIZE\page5_img2__DUP__CCBACBD929.png,
Other,page5_img2__DUP__F8D6421B19.png,.png,261127,2025-12-11 16:38:18,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\_duplicates_review\PNG_MISC_STYLE_UNKNOWN_SIZE\page5_img2__DUP__F8D6421B19.png,
Other,page5_img2__DUP__FA233AC90C.png,.png,15619,2025-12-11 16:38:34,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\_duplicates_review\PNG_MISC_STYLE_UNKNOWN_SIZE\page5_img2__DUP__FA233AC90C.png,
Other,page5_img3__DUP__09DFC88A5E.png,.png,14471,2025-12-11 16:37:54,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\_duplicates_review\PNG_MISC_STYLE_UNKNOWN_SIZE\page5_img3__DUP__09DFC88A5E.png,
Other,page5_img3__DUP__19941F8422.png,.png,200,2025-12-11 16:39:00,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\_duplicates_review\PNG_MISC_STYLE_UNKNOWN_SIZE\page5_img3__DUP__19941F8422.png,
Other,page5_img3__DUP__21F3CD1BB3.png,.png,125434,2025-12-11 16:38:18,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\_duplicates_review\PNG_MISC_STYLE_UNKNOWN_SIZE\page5_img3__DUP__21F3CD1BB3.png,
Other,page5_img3__DUP__3750C943B7.png,.png,23384,2025-12-11 16:37:48,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\_duplicates_review\PNG_MISC_STYLE_UNKNOWN_SIZE\page5_img3__DUP__3750C943B7.png,
Other,page5_img3__DUP__505DA78F2C.png,.png,7248,2025-12-11 16:38:46,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\_duplicates_review\PNG_MISC_STYLE_UNKNOWN_SIZE\page5_img3__DUP__505DA78F2C.png,
Other,page5_img3__DUP__5C93DA3308.png,.png,140310,2025-12-11 16:37:58,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\_duplicates_review\PNG_MISC_STYLE_UNKNOWN_SIZE\page5_img3__DUP__5C93DA3308.png,
Other,page5_img3__DUP__659B6C38EC.png,.png,39839,2025-12-11 16:38:34,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\_duplicates_review\PNG_MISC_STYLE_UNKNOWN_SIZE\page5_img3__DUP__659B6C38EC.png,
Other,page5_img3__DUP__661EF8D876.png,.png,8346,2025-12-11 16:38:48,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\_duplicates_review\PNG_MISC_STYLE_UNKNOWN_SIZE\page5_img3__DUP__661EF8D876.png,
Other,page5_img3__DUP__76A322529D.png,.png,62636,2025-12-11 16:38:36,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\_duplicates_review\PNG_MISC_STYLE_UNKNOWN_SIZE\page5_img3__DUP__76A322529D.png,
Other,page5_img3__DUP__963D124942.png,.png,23068,2025-12-11 16:38:44,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\_duplicates_review\PNG_MISC_STYLE_UNKNOWN_SIZE\page5_img3__DUP__963D124942.png,
Other,page5_img3__DUP__987CBDEEE0.png,.png,183440,2025-12-11 16:37:52,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\_duplicates_review\PNG_MISC_STYLE_UNKNOWN_SIZE\page5_img3__DUP__987CBDEEE0.png,
Other,page5_img3__DUP__B53BFCC086.png,.png,233049,2025-12-11 16:39:10,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\_duplicates_review\PNG_MISC_STYLE_UNKNOWN_SIZE\page5_img3__DUP__B53BFCC086.png,
Other,page5_img3__DUP__D965B12600.png,.png,533,2025-12-11 16:38:54,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\_duplicates_review\PNG_MISC_STYLE_UNKNOWN_SIZE\page5_img3__DUP__D965B12600.png,
Other,page5_img3__DUP__E7A2CC4BCD.png,.png,1476,2025-12-11 16:37:48,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\_duplicates_review\PNG_MISC_STYLE_UNKNOWN_SIZE\page5_img3__DUP__E7A2CC4BCD.png,
Other,page5_img4__DUP__139D371A92.png,.png,57787,2025-12-11 16:38:48,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\_duplicates_review\PNG_MISC_STYLE_UNKNOWN_SIZE\page5_img4__DUP__139D371A92.png,
Other,page5_img4__DUP__30C0BEAF37.png,.png,35214,2025-12-11 16:37:58,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\_duplicates_review\PNG_MISC_STYLE_UNKNOWN_SIZE\page5_img4__DUP__30C0BEAF37.png,
Other,page5_img4__DUP__5C0E0E9A4A.png,.png,21465,2025-12-11 16:37:48,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\_duplicates_review\PNG_MISC_STYLE_UNKNOWN_SIZE\page5_img4__DUP__5C0E0E9A4A.png,
Other,page5_img4__DUP__5F518BD03A.png,.png,44867,2025-12-11 16:39:10,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\_duplicates_review\PNG_MISC_STYLE_UNKNOWN_SIZE\page5_img4__DUP__5F518BD03A.png,
Other,page5_img4__DUP__71B65E936A.png,.png,1400,2025-12-11 16:37:48,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\_duplicates_review\PNG_MISC_STYLE_UNKNOWN_SIZE\page5_img4__DUP__71B65E936A.png,
Other,page5_img4__DUP__7C489035FC.png,.png,935,2025-12-11 16:38:44,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\_duplicates_review\PNG_MISC_STYLE_UNKNOWN_SIZE\page5_img4__DUP__7C489035FC.png,
Other,page5_img4__DUP__91635C08D7.png,.png,343620,2025-12-11 16:38:18,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICONS\_duplicates_review\PNG_MISC_STYLE_UNKNOWN_SIZE\page5_img4__DUP__91635C08D7.png,
