"def_priority","def_gate_type","def_accept_status","def_user_accept","def_suggested_action","def_owner_engine","def_domain_family","def_normalized_key","def_distinct_values","def_selected_canonical_value","def_suggested_canonical_value","def_reject_reason","def_secret_risk","def_suggestion_note","def_next_allowed_phase","def_sample_values_masked"
"P0","DOMAIN_ACCEPT_GATE","WAIT_USER_DECISION","","ACCEPT_GROUP_POLICY_AFTER_REVIEW","VDF","MARKET_TICKER_IDENTITY","vrn_merge_yfinance_ticker","5","","TW_TICKER=4_DIGITS; TWSE_YF={TW_TICKER}.TW; TPEX_YF={TW_TICKER}.TWO; OVERSEAS=PROVIDER_NATIVE_TICKER","","False","Accept as policy group, not each observed sample value.","v0114_only_after_MANUAL_YES","""1101.TW"" || ""1102.TW"" || ""1103.TW"" || ""1104.TW"" || ""1108.TW"""
"P0","DOMAIN_ACCEPT_GATE","WAIT_USER_DECISION","","MASK_SECRET_AND_DEFER","VDF","MARKET_TICKER_IDENTITY","ticker_regex","5","","USE_ENV_VAR_OR_SECRET_STORE; DO_NOT_PRINT_VALUE","","True","Potential secret/API key appears in sample values. Rotate key if real; do not propagate into canonical registry.","v0114_only_after_MANUAL_YES","""^[0-9A-Z]{4,8}$"" || ""C:\\Users\\tonyk\\Downloads\\VeritasIntelligenceAnalytics\\dict\\VRN\\SSOT\\_runs\\***MASKED_LONG_TOKEN***\\parquet\\VRN_TickerRegexSSOT_v029SSOT1B.par... || os.path.join(parquet_dir, ""VRN_TickerRegexSSOT_v029SSOT1B.parquet"") || ticker_regex = [ || ""^(?!202[1-9])(?!2030)[1-9]\\d{3}$"""
"P0","DOMAIN_ACCEPT_GATE","WAIT_USER_DECISION","","ACCEPT_SCHEMA_OWNER_AFTER_REVIEW","VRN/VDF","SCHEMA_FIELD_CONTRACT","schema_gate","5","","OWNER_SCHEMA_REGISTRY; FIELD_ALIAS_MAP; UNIT_NORMALIZATION_TABLE","","False","Accept schema ownership, not every conflicting field value.","v0114_only_after_MANUAL_YES","""***MASKED_LONG_TOKEN***; risk=MEDIUM; count=1"" || { || {} || schema_gate = { || result[""schema_gate""]"
"P0","DOMAIN_ACCEPT_GATE","WAIT_USER_DECISION","","ACCEPT_GROUP_POLICY_AFTER_REVIEW","VDF","MARKET_TICKER_IDENTITY","factset_tw_ticker","5","","TW_TICKER=4_DIGITS; TWSE_YF={TW_TICKER}.TW; TPEX_YF={TW_TICKER}.TWO; OVERSEAS=PROVIDER_NATIVE_TICKER","","False","Accept as policy group, not each observed sample value.","v0114_only_after_MANUAL_YES","""1101"" || ""1102"" || ""1103"" || ""1104"" || ""1108"""
"P0","DOMAIN_ACCEPT_GATE","WAIT_USER_DECISION","","ACCEPT_GROUP_POLICY_AFTER_REVIEW","VDF","MARKET_TICKER_IDENTITY","factset_tw_yfinance_ticker","5","","TW_TICKER=4_DIGITS; TWSE_YF={TW_TICKER}.TW; TPEX_YF={TW_TICKER}.TWO; OVERSEAS=PROVIDER_NATIVE_TICKER","","False","Accept as policy group, not each observed sample value.","v0114_only_after_MANUAL_YES","""1101.TW"" || ""1102.TW"" || ""1103.TW"" || ""1104.TW"" || ""1108.TW"""
"P0","DOMAIN_ACCEPT_GATE","WAIT_USER_DECISION","","ACCEPT_GROUP_POLICY_AFTER_REVIEW","VDF","MARKET_TICKER_IDENTITY","yf_tw_ticker","5","","TW_TICKER=4_DIGITS; TWSE_YF={TW_TICKER}.TW; TPEX_YF={TW_TICKER}.TWO; OVERSEAS=PROVIDER_NATIVE_TICKER","","False","Accept as policy group, not each observed sample value.","v0114_only_after_MANUAL_YES","""1101"" || ""1102"" || ""1103"" || ""1104"" || ""1108"""
"P0","DOMAIN_ACCEPT_GATE","WAIT_USER_DECISION","","ACCEPT_GROUP_POLICY_AFTER_REVIEW","VDF","MARKET_TICKER_IDENTITY","vrn_merge_ticker","5","","TW_TICKER=4_DIGITS; TWSE_YF={TW_TICKER}.TW; TPEX_YF={TW_TICKER}.TWO; OVERSEAS=PROVIDER_NATIVE_TICKER","","False","Accept as policy group, not each observed sample value.","v0114_only_after_MANUAL_YES","""1101"" || ""1102"" || ""1103"" || ""1104"" || ""1108"""
"P0","DOMAIN_ACCEPT_GATE","WAIT_USER_DECISION","","ACCEPT_PROVIDER_CONTRACT_AFTER_REVIEW","VDF","DATA_SOURCE_CONTRACT","schema_id","5","","PROVIDER_REGISTRY_ONLY; API_KEYS_FROM_ENV; FALLBACK_EXPLICIT","","False","Accept only provider contract and env-key policy. Do not accept raw credentials.","v0114_only_after_MANUAL_YES","""VDF_VRN_SourceFallback_AllDataRegistry"" || ""VRN_BROKER_LIST"" || ""VRN_IO_Summary"" || ""VRN_S05_FieldRegistry"" || f""SCH_{row.get('asset_id', '')}"""
"P0","DOMAIN_ACCEPT_GATE","WAIT_USER_DECISION","","ACCEPT_GROUP_POLICY_AFTER_REVIEW","VDF","MARKET_TICKER_IDENTITY","yf_tw_yfinance_ticker","5","","TW_TICKER=4_DIGITS; TWSE_YF={TW_TICKER}.TW; TPEX_YF={TW_TICKER}.TWO; OVERSEAS=PROVIDER_NATIVE_TICKER","","False","Accept as policy group, not each observed sample value.","v0114_only_after_MANUAL_YES","""1101.TW"" || ""1102.TW"" || ""1103.TW"" || ""1104.TW"" || ""1108.TW"""
"P0","DOMAIN_ACCEPT_GATE","WAIT_USER_DECISION","","ACCEPT_SCHEMA_OWNER_AFTER_REVIEW","VRN/VDF","SCHEMA_FIELD_CONTRACT","schema_rows","4","","OWNER_SCHEMA_REGISTRY; FIELD_ALIAS_MAP; UNIT_NORMALIZATION_TABLE","","False","Accept schema ownership, not every conflicting field value.","v0114_only_after_MANUAL_YES","schema_rows = [] || 149 || len(schema_rows) || []"
"P0","DOMAIN_ACCEPT_GATE","WAIT_USER_DECISION","","MASK_SECRET_AND_DEFER","VDF","MARKET_TICKER_IDENTITY","ticker_summary_csv","4","","USE_ENV_VAR_OR_SECRET_STORE; DO_NOT_PRINT_VALUE","","True","Potential secret/API key appears in sample values. Rotate key if real; do not propagate into canonical registry.","v0114_only_after_MANUAL_YES","""C:\\Users\\tonyk\\OneDrive\\VeritasIntelligenceAnalytics\\module\\VRN\\_vrn_operation_ui_runs\\***MASKED_LONG_TOKEN***\\vrn_business_validation_by_t... || ""C:\\Users\\tonyk\\OneDrive\\VeritasIntelligenceAnalytics\\module\\VRN\\_vrn_operation_ui_runs\\***MASKED_LONG_TOKEN***\\vrn_business_validation_by_t... || ""C:\\Users\\tonyk\\OneDrive\\VeritasIntelligenceAnalytics\\module\\VRN\\_vrn_operation_ui_runs\\***MASKED_LONG_TOKEN***\\vrn_business_validation_by_t... || str(run_dir / ""***MASKED_LONG_TOKEN***.csv"")"
"P0","DOMAIN_ACCEPT_GATE","WAIT_USER_DECISION","","ACCEPT_SCHEMA_OWNER_AFTER_REVIEW","VRN/VDF","SCHEMA_FIELD_CONTRACT","missing_unit","4","","OWNER_SCHEMA_REGISTRY; FIELD_ALIAS_MAP; UNIT_NORMALIZATION_TABLE","","False","Accept schema ownership, not every conflicting field value.","v0114_only_after_MANUAL_YES","0 || missing_unit = sum(1 for r in financial_rows if not str(r.get(""Unit"", """")).strip()) || missing_unit || missing_unit = sum(1 for r in fin_rows if not str(r.get(""Unit"", """")).strip())"
"P0","DOMAIN_ACCEPT_GATE","WAIT_USER_DECISION","","ACCEPT_SCHEMA_OWNER_AFTER_REVIEW","VRN/VDF","SCHEMA_FIELD_CONTRACT","unit_band_yellow","4","","OWNER_SCHEMA_REGISTRY; FIELD_ALIAS_MAP; UNIT_NORMALIZATION_TABLE","","False","Accept schema ownership, not every conflicting field value.","v0114_only_after_MANUAL_YES","5 || 360 || 11 || 59"
"P0","DOMAIN_ACCEPT_GATE","WAIT_USER_DECISION","","ACCEPT_GROUP_POLICY_AFTER_REVIEW","VDF","MARKET_TICKER_IDENTITY","before_missing_ticker","4","","TW_TICKER=4_DIGITS; TWSE_YF={TW_TICKER}.TW; TPEX_YF={TW_TICKER}.TWO; OVERSEAS=PROVIDER_NATIVE_TICKER","","False","Accept as policy group, not each observed sample value.","v0114_only_after_MANUAL_YES","before_missing_ticker = sum(1 for r in basic_rows if not r.get(""ticker"")) || before_missing_ticker || 0 || before_missing_ticker=sum(1 for r in basic_rows if not r.get(""ticker""))"
"P0","DOMAIN_ACCEPT_GATE","WAIT_USER_DECISION","","MASK_SECRET_AND_DEFER","VDF","MARKET_TICKER_IDENTITY","ticker_tokens","4","","USE_ENV_VAR_OR_SECRET_STORE; DO_NOT_PRINT_VALUE","","True","Potential secret/API key appears in sample values. Rotate key if real; do not propagate into canonical registry.","v0114_only_after_MANUAL_YES","ticker_tokens = [] || list(dict.fromkeys(ticker_tokens)) || ticker_tokens || "" | "".join(ticker_tokens)"
"P0","DOMAIN_ACCEPT_GATE","WAIT_USER_DECISION","","ACCEPT_SCHEMA_OWNER_AFTER_REVIEW","VRN/VDF","SCHEMA_FIELD_CONTRACT","def_PARAM_HARDGATE_DIR","4","","OWNER_SCHEMA_REGISTRY; FIELD_ALIAS_MAP; UNIT_NORMALIZATION_TABLE","","False","Accept schema ownership, not every conflicting field value.","v0114_only_after_MANUAL_YES","$def_PARAM_HARDGATE_DIR = Join-Path $def_PARAM_OUT_ROOT """"_supportive_hardgate"""" || $def_PARAM_HARDGATE_DIR = Join-Path $def_PARAM_OUT_ROOT &quot;_supportive_hardgate&quot; || $def_PARAM_HARDGATE_DIR = Join-Path $def_PARAM_OUT_ROOT """"_supp"" || $def_PARAM_HARDGATE_DIR = Join-Path $def_PARAM_OUT_ROOT &quot;_supp</td></tr>"
"P0","DOMAIN_ACCEPT_GATE","WAIT_USER_DECISION","","ACCEPT_SCHEMA_OWNER_AFTER_REVIEW","VRN/VDF","SCHEMA_FIELD_CONTRACT","unit_band_green","4","","OWNER_SCHEMA_REGISTRY; FIELD_ALIAS_MAP; UNIT_NORMALIZATION_TABLE","","False","Accept schema ownership, not every conflicting field value.","v0114_only_after_MANUAL_YES","1337 || 982 || 1240 || 969"
"P0","DOMAIN_ACCEPT_GATE","WAIT_USER_DECISION","","ACCEPT_SCHEMA_OWNER_AFTER_REVIEW","VRN/VDF","SCHEMA_FIELD_CONTRACT","unit_review_rows","4","","OWNER_SCHEMA_REGISTRY; FIELD_ALIAS_MAP; UNIT_NORMALIZATION_TABLE","","False","Accept schema ownership, not every conflicting field value.","v0114_only_after_MANUAL_YES","30 || 120 || 91 || 349"
"P0","DOMAIN_ACCEPT_GATE","WAIT_USER_DECISION","","ACCEPT_GROUP_POLICY_AFTER_REVIEW","VDF","MARKET_TICKER_IDENTITY","after_missing_ticker","4","","TW_TICKER=4_DIGITS; TWSE_YF={TW_TICKER}.TW; TPEX_YF={TW_TICKER}.TWO; OVERSEAS=PROVIDER_NATIVE_TICKER","","False","Accept as policy group, not each observed sample value.","v0114_only_after_MANUAL_YES","after_missing_ticker = sum(1 for r in basic_rows if not r.get(""ticker"")) || after_missing_ticker || 0 || after_mt,""after_review_required"":after_review"
"P0","DOMAIN_ACCEPT_GATE","WAIT_USER_DECISION","","MASK_SECRET_AND_DEFER","VRN/VDF","SCHEMA_FIELD_CONTRACT","unit_review_csv","4","","USE_ENV_VAR_OR_SECRET_STORE; DO_NOT_PRINT_VALUE","","True","Potential secret/API key appears in sample values. Rotate key if real; do not propagate into canonical registry.","v0114_only_after_MANUAL_YES","""C:\\Users\\tonyk\\OneDrive\\VeritasIntelligenceAnalytics\\module\\VRN\\_vrn_integrated_trust_runs\\***MASKED_LONG_TOKEN***\\vrn_unit_review_v055.csv"" || ""C:\\Users\\tonyk\\OneDrive\\VeritasIntelligenceAnalytics\\module\\VRN\\_vrn_integrated_trust_runs\\***MASKED_LONG_TOKEN***\\vrn_unit_review_v054.csv"" || ""C:\\Users\\tonyk\\OneDrive\\VeritasIntelligenceAnalytics\\module\\VRN\\_vrn_integrated_trust_runs\\***MASKED_LONG_TOKEN***\\vrn_unit_review_v053.csv"" || ""C:\\Users\\tonyk\\OneDrive\\VeritasIntelligenceAnalytics\\module\\VRN\\_vrn_integrated_trust_runs\\***MASKED_LONG_TOKEN***\\vrn_unit_precision_review_v0521..."
"P0","DOMAIN_ACCEPT_GATE","WAIT_USER_DECISION","","ACCEPT_GROUP_POLICY_AFTER_REVIEW","VDF","MARKET_TICKER_IDENTITY","required_fields","4","","TW_TICKER=4_DIGITS; TWSE_YF={TW_TICKER}.TW; TPEX_YF={TW_TICKER}.TWO; OVERSEAS=PROVIDER_NATIVE_TICKER","","False","Accept as policy group, not each observed sample value.","v0114_only_after_MANUAL_YES","[ || [""family"",""symbol"",""date"",""value"",""source""] || required_fields = @(""symbol"",""date"",""value"",""source"") || required_fields = @(""family"",""symbol"",""date"",""value"",""source"")"
"P0","DOMAIN_ACCEPT_GATE","WAIT_USER_DECISION","","ACCEPT_POLICY_OWNER_AFTER_REVIEW","VIA","GOVERNANCE_POLICY","policy_id","4","","VIA_GOVERNANCE_POLICY_REGISTRY","","False","Policy should remain registry-owned; no auto merge.","v0114_only_after_MANUAL_YES","""COAXIS_TW_BASE"" || ""COAXIS_US_PLUS_1"" || ""COAXIS_MACRO_FFILL"" || ""COAXIS_EVENT_MATRIX"""
"P0","DOMAIN_ACCEPT_GATE","WAIT_USER_DECISION","","ACCEPT_GROUP_POLICY_AFTER_REVIEW","VDF","MARKET_TICKER_IDENTITY","tw_bloomberg_ticker","4","","TW_TICKER=4_DIGITS; TWSE_YF={TW_TICKER}.TW; TPEX_YF={TW_TICKER}.TWO; OVERSEAS=PROVIDER_NATIVE_TICKER","","False","Accept as policy group, not each observed sample value.","v0114_only_after_MANUAL_YES","""{TW_TICKER} TT"" || f""{code} TT"" || None || canonical[""tw_bloomberg_ticker""]"
"P0","DOMAIN_ACCEPT_GATE","WAIT_USER_DECISION","","ACCEPT_GROUP_POLICY_AFTER_REVIEW","VDF","MARKET_TICKER_IDENTITY","write_policy","4","","TW_TICKER=4_DIGITS; TWSE_YF={TW_TICKER}.TW; TPEX_YF={TW_TICKER}.TWO; OVERSEAS=PROVIDER_NATIVE_TICKER","","False","Accept as policy group, not each observed sample value.","v0114_only_after_MANUAL_YES","""ADD_OR_REPLACE_AFTER_SEAL_ONLY"" || ""SELECTOR_REQUIRED_BEFORE_SEED"" || ""DEFER_TO_YFINANCE_OR_FUTURE_GATE"" || ""staging_first"""
"P0","DOMAIN_ACCEPT_GATE","WAIT_USER_DECISION","","REVIEW","VIA_REVIEW_BOARD","DOMAIN_GENERAL","MACRO_CHINA","4","","","","False","Manual decision required.","v0114_only_after_MANUAL_YES","2 || 343 || 30 || {"
"P0","DOMAIN_ACCEPT_GATE","WAIT_USER_DECISION","","ACCEPT_GROUP_POLICY_AFTER_REVIEW","VDF","MARKET_TICKER_IDENTITY","VDF_Global_Macro","4","","TW_TICKER=4_DIGITS; TWSE_YF={TW_TICKER}.TW; TPEX_YF={TW_TICKER}.TWO; OVERSEAS=PROVIDER_NATIVE_TICKER","","False","Accept as policy group, not each observed sample value.","v0114_only_after_MANUAL_YES","[ || [""symbol"",""date"",""value"",""source"",""unit"",""frequency"",""description""] || VDF_Global_Macro = 10 rows || ""^TNX"""
"P0","DOMAIN_ACCEPT_GATE","WAIT_USER_DECISION","","ACCEPT_SCHEMA_OWNER_AFTER_REVIEW","VRN/VDF","SCHEMA_FIELD_CONTRACT","text_fields","3","","OWNER_SCHEMA_REGISTRY; FIELD_ALIAS_MAP; UNIT_NORMALIZATION_TABLE","","False","Accept schema ownership, not every conflicting field value.","v0114_only_after_MANUAL_YES","text_fields = None || text_fields = list(reader.fieldnames or []) || text_fields=list(reader.fieldnames or [])"
"P0","DOMAIN_ACCEPT_GATE","WAIT_USER_DECISION","","ACCEPT_PROVIDER_CONTRACT_AFTER_REVIEW","VDF","DATA_SOURCE_CONTRACT","recommended_fields","3","","PROVIDER_REGISTRY_ONLY; API_KEYS_FROM_ENV; FALLBACK_EXPLICIT","","False","Accept only provider contract and env-key policy. Do not accept raw credentials.","v0114_only_after_MANUAL_YES","[ || recommended_fields = @(""family"",""unit"",""frequency"",""original_function"",""source_table"",""record_hash"",""seeded_at"") || recommended_fields = @(""unit"",""frequency"",""original_function"",""source_file"",""source_file_name"",""record_hash"",""seeded_at"")"
"P0","DOMAIN_ACCEPT_GATE","WAIT_USER_DECISION","","MASK_SECRET_AND_DEFER","VDF","DATA_SOURCE_CONTRACT","fred_keys","3","","USE_ENV_VAR_OR_SECRET_STORE; DO_NOT_PRINT_VALUE","","True","Potential secret/API key appears in sample values. Rotate key if real; do not propagate into canonical registry.","v0114_only_after_MANUAL_YES","fred_keys = [""FRED_API_KEY"",""VDF_FRED_API_KEY"",""VIA_FRED_API_KEY""] || fred_keys = [ || fred_keys = [""FRED_API_KEY"", ""VDF_FRED_API_KEY"", ""VIA_FRED_API_KEY""]"
"P0","DOMAIN_ACCEPT_GATE","WAIT_USER_DECISION","","MASK_SECRET_AND_DEFER","VDF","MARKET_TICKER_IDENTITY","VRN_TickerRegexSSOT","3","","USE_ENV_VAR_OR_SECRET_STORE; DO_NOT_PRINT_VALUE","","True","Potential secret/API key appears in sample values. Rotate key if real; do not propagate into canonical registry.","v0114_only_after_MANUAL_YES","""C:\\Users\\tonyk\\Downloads\\VeritasIntelligenceAnalytics\\dict\\VRN\\SSOT\\_runs\\***MASKED_LONG_TOKEN***\\parquet\\VRN_TickerRegexSSOT_v029SSOT1B.par... || ""C:\\Users\\tonyk\\Downloads\\VeritasIntelligenceAnalytics\\dict\\VRN\\SSOT\\_runs\\***MASKED_LONG_TOKEN***\\json\\VRN_TickerRegexSSOT_v029SSOT1B.json"" || ticker_regex"
"P0","DOMAIN_ACCEPT_GATE","WAIT_USER_DECISION","","ACCEPT_PROVIDER_CONTRACT_AFTER_REVIEW","VDF","DATA_SOURCE_CONTRACT","VDF_Global_Commodity_AkShare_Candidate","3","","PROVIDER_REGISTRY_ONLY; API_KEYS_FROM_ENV; FALLBACK_EXPLICIT","","False","Accept only provider contract and env-key policy. Do not accept raw credentials.","v0114_only_after_MANUAL_YES","VDF_Global_Commodity_AkShare_Candidate=150 || 150 || 3"
"P0","DOMAIN_ACCEPT_GATE","WAIT_USER_DECISION","","ACCEPT_SCHEMA_OWNER_AFTER_REVIEW","VRN/VDF","SCHEMA_FIELD_CONTRACT","schema_warn_count","3","","OWNER_SCHEMA_REGISTRY; FIELD_ALIAS_MAP; UNIT_NORMALIZATION_TABLE","","False","Accept schema ownership, not every conflicting field value.","v0114_only_after_MANUAL_YES","0 || schema_warn_count = 0 || int(sum(1 for x in schema_rows if str(x[""status""]).startswith(""WARN"")))"
"P0","DOMAIN_ACCEPT_GATE","WAIT_USER_DECISION","","ACCEPT_GROUP_POLICY_AFTER_REVIEW","VDF","MARKET_TICKER_IDENTITY","has_yfinance_data","3","","TW_TICKER=4_DIGITS; TWSE_YF={TW_TICKER}.TW; TPEX_YF={TW_TICKER}.TWO; OVERSEAS=PROVIDER_NATIVE_TICKER","","False","Accept as policy group, not each observed sample value.","v0114_only_after_MANUAL_YES","False || has_yfinance_data = bool(yf_data and yf_data.get(""_yf_error"") is None) || has_yfinance_data"
"P0","DOMAIN_ACCEPT_GATE","WAIT_USER_DECISION","","ACCEPT_SCHEMA_OWNER_AFTER_REVIEW","VRN/VDF","SCHEMA_FIELD_CONTRACT","schema_role","3","","OWNER_SCHEMA_REGISTRY; FIELD_ALIAS_MAP; UNIT_NORMALIZATION_TABLE","","False","Accept schema ownership, not every conflicting field value.","v0114_only_after_MANUAL_YES","role || schema_role = str(row.get(""schema_role"", """")) || schema_role"
"P0","DOMAIN_ACCEPT_GATE","WAIT_USER_DECISION","","ACCEPT_PROVIDER_CONTRACT_AFTER_REVIEW","VDF","DATA_SOURCE_CONTRACT","akshare_import","3","","PROVIDER_REGISTRY_ONLY; API_KEYS_FROM_ENV; FALLBACK_EXPLICIT","","False","Accept only provider contract and env-key policy. Do not accept raw credentials.","v0114_only_after_MANUAL_YES","true || False || result[""akshare_import""]"
"P0","DOMAIN_ACCEPT_GATE","WAIT_USER_DECISION","","ACCEPT_GROUP_POLICY_AFTER_REVIEW","VDF","MARKET_TICKER_IDENTITY","EQUITY_FLAT_SCHEMA","3","","TW_TICKER=4_DIGITS; TWSE_YF={TW_TICKER}.TW; TPEX_YF={TW_TICKER}.TWO; OVERSEAS=PROVIDER_NATIVE_TICKER","","False","Accept as policy group, not each observed sample value.","v0114_only_after_MANUAL_YES","EQUITY_FLAT_SCHEMA        = True   # Long format (Dat"" || EQUITY_FLAT_SCHEMA        = True   # Long format (Dat</td></tr> || EQUITY_FLAT_SCHEMA        = True   # Long format (Date, Ticker, Market, Open, High, Low, Close, Volume, ...)"
"P0","DOMAIN_ACCEPT_GATE","WAIT_USER_DECISION","","ACCEPT_GROUP_POLICY_AFTER_REVIEW","VDF","MARKET_TICKER_IDENTITY","consensus_by_ticker","3","","TW_TICKER=4_DIGITS; TWSE_YF={TW_TICKER}.TW; TPEX_YF={TW_TICKER}.TWO; OVERSEAS=PROVIDER_NATIVE_TICKER","","False","Accept as policy group, not each observed sample value.","v0114_only_after_MANUAL_YES","Dict[str, Dict]) -> ""pd.DataFrame"": || consensus_by_ticker = {} || consensus_by_ticker = self.yf_consensus.fetch(yf_tickers)"
"P0","DOMAIN_ACCEPT_GATE","WAIT_USER_DECISION","","ACCEPT_PROVIDER_CONTRACT_AFTER_REVIEW","VDF","DATA_SOURCE_CONTRACT","akshare_version","3","","PROVIDER_REGISTRY_ONLY; API_KEYS_FROM_ENV; FALLBACK_EXPLICIT","","False","Accept only provider contract and env-key policy. Do not accept raw credentials.","v0114_only_after_MANUAL_YES","""1.18.55"" || """" || result[""akshare_version""]"
"P0","DOMAIN_ACCEPT_GATE","WAIT_USER_DECISION","","MASK_SECRET_AND_DEFER","VRN/VDF","SCHEMA_FIELD_CONTRACT","schema_run","3","","USE_ENV_VAR_OR_SECRET_STORE; DO_NOT_PRINT_VALUE","","True","Potential secret/API key appears in sample values. Rotate key if real; do not propagate into canonical registry.","v0114_only_after_MANUAL_YES","schema_run = def_find_latest_dir(run_root, [""***MASKED_LONG_TOKEN***""]) || ""C:\\Users\\tonyk\\OneDrive\\VeritasIntelligenceAnalytics\\module\\VRN\\_vrn_operation_ui_runs\\***MASKED_LONG_TOKEN***"" || str(schema_run) if schema_run else """""
"P0","DOMAIN_ACCEPT_GATE","WAIT_USER_DECISION","","ACCEPT_POLICY_OWNER_AFTER_REVIEW","VIA","GOVERNANCE_POLICY","duplicate_after_collision_policy","3","","VIA_GOVERNANCE_POLICY_REGISTRY","","False","Policy should remain registry-owned; no auto merge.","v0114_only_after_MANUAL_YES","30 || duplicate_after_collision_policy = 30 || dup_after"
"P0","DOMAIN_ACCEPT_GATE","WAIT_USER_DECISION","","MASK_SECRET_AND_DEFER","VDF","MARKET_TICKER_IDENTITY","missing_yfinance_csv","3","","USE_ENV_VAR_OR_SECRET_STORE; DO_NOT_PRINT_VALUE","","True","Potential secret/API key appears in sample values. Rotate key if real; do not propagate into canonical registry.","v0114_only_after_MANUAL_YES","""C:\\Users\\tonyk\\OneDrive\\VeritasIntelligenceAnalytics\\module\\VRN\\output\\_route_lock_runs\\***MASKED_LONG_TOKEN***\\CleanConsensus_Missing_YFin... || ""C:\\Users\\tonyk\\OneDrive\\VeritasIntelligenceAnalytics\\module\\VRN\\output\\_route_lock_runs\\***MASKED_LONG_TOKEN***\\LocalConsensus_Missing_YFi... || ""C:\\Users\\tonyk\\OneDrive\\VeritasIntelligenceAnalytics\\module\\VRN\\output\\_route_lock_runs\\***MASKED_LONG_TOKEN***\\BasicInfo_Missing_YFina..."
"P0","DOMAIN_ACCEPT_GATE","WAIT_USER_DECISION","","MASK_SECRET_AND_DEFER","VDF","DATA_SOURCE_CONTRACT","schema_audit_csv","3","","USE_ENV_VAR_OR_SECRET_STORE; DO_NOT_PRINT_VALUE","","True","Potential secret/API key appears in sample values. Rotate key if real; do not propagate into canonical registry.","v0114_only_after_MANUAL_YES","""C:\\Users\\tonyk\\Downloads\\VeritasIntelligenceAnalytics\\dict\\VDF\\_active\\***MASKED_LONG_TOKEN***\\registry\\VDF_AkShare_v0279_SchemaAudi... || schema_audit_csv = Path(r""C:\\Users\\tonyk\\Downloads\\VeritasIntelligenceAnalytics\\dict\\VDF\\_active\\***MASKED_LONG_TOKEN***\\registry\\VDF... || str(schema_audit_csv)"
"P0","DOMAIN_ACCEPT_GATE","WAIT_USER_DECISION","","ACCEPT_POLICY_OWNER_AFTER_REVIEW","VIA","GOVERNANCE_POLICY","dedup_policy_required","2","","VIA_GOVERNANCE_POLICY_REGISTRY","","False","Policy should remain registry-owned; no auto merge.","v0114_only_after_MANUAL_YES","true || duplicate_rows > 0"
"P0","DOMAIN_ACCEPT_GATE","WAIT_USER_DECISION","","ACCEPT_SCHEMA_OWNER_AFTER_REVIEW","VRN/VDF","SCHEMA_FIELD_CONTRACT","financialdata_fields","2","","OWNER_SCHEMA_REGISTRY; FIELD_ALIAS_MAP; UNIT_NORMALIZATION_TABLE","","False","Accept schema ownership, not every conflicting field value.","v0114_only_after_MANUAL_YES","76 || ["
"P0","DOMAIN_ACCEPT_GATE","WAIT_USER_DECISION","","MASK_SECRET_AND_DEFER","VRN/VDF","SCHEMA_FIELD_CONTRACT","OUT_SCHEMA_CSV","2","","USE_ENV_VAR_OR_SECRET_STORE; DO_NOT_PRINT_VALUE","","True","Potential secret/API key appears in sample values. Rotate key if real; do not propagate into canonical registry.","v0114_only_after_MANUAL_YES","OUT_SCHEMA_CSV = r""C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\output\_route_lock_runs\***MASKED_LONG_TOKEN***\VRN_v141A_Consumer... || OUT_SCHEMA_CSV = r""C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\output\_staging\***MASKED_LONG_TOKEN***\BasicInfo_Consensus_Schema..."
"P0","DOMAIN_ACCEPT_GATE","WAIT_USER_DECISION","","ACCEPT_PROVIDER_CONTRACT_AFTER_REVIEW","VDF","DATA_SOURCE_CONTRACT","fred_api_key_sources_checked","2","","PROVIDER_REGISTRY_ONLY; API_KEYS_FROM_ENV; FALLBACK_EXPLICIT","","False","Accept only provider contract and env-key policy. Do not accept raw credentials.","v0114_only_after_MANUAL_YES","[ || fred_keys"
"P0","DOMAIN_ACCEPT_GATE","WAIT_USER_DECISION","","ACCEPT_PROVIDER_CONTRACT_AFTER_REVIEW","VDF","DATA_SOURCE_CONTRACT","fred_id","2","","PROVIDER_REGISTRY_ONLY; API_KEYS_FROM_ENV; FALLBACK_EXPLICIT","","False","Accept only provider contract and env-key policy. Do not accept raw credentials.","v0114_only_after_MANUAL_YES","fred_id = meta.get(""fred_id"") || fred_id = meta.get(""fred_id"", """")"
"P0","DOMAIN_ACCEPT_GATE","WAIT_USER_DECISION","","ACCEPT_SCHEMA_OWNER_AFTER_REVIEW","VRN/VDF","SCHEMA_FIELD_CONTRACT","operating_income_wrong_unit_rows","2","","OWNER_SCHEMA_REGISTRY; FIELD_ALIAS_MAP; UNIT_NORMALIZATION_TABLE","","False","Accept schema ownership, not every conflicting field value.","v0114_only_after_MANUAL_YES","0 || 28"
"P0","DOMAIN_ACCEPT_GATE","WAIT_USER_DECISION","","ACCEPT_SCHEMA_OWNER_AFTER_REVIEW","VRN/VDF","SCHEMA_FIELD_CONTRACT","output_schema","2","","OWNER_SCHEMA_REGISTRY; FIELD_ALIAS_MAP; UNIT_NORMALIZATION_TABLE","","False","Accept schema ownership, not every conflicting field value.","v0114_only_after_MANUAL_YES","{ || OUTPUT_SCHEMA = ["
