"signal","path","extension","risk_class","risk","action"
"canonical","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_KEY_REPAIR_ROOTCAUSE_SMART_REMAP_v027811_20260610_221501\runtime\vdf_akshare_key_repair_rootcause_smart_remap_result_v027811.json",".json","TEXT_ONLY_SIGNAL","LOW","Do not block unless AST confirms executable command or write boundary is enabled."
"DATABASE","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_KEY_REPAIR_ROOTCAUSE_SMART_REMAP_v027811_20260610_221501\runtime\vdf_akshare_key_repair_rootcause_smart_remap_v027811.py",".py","TEXT_ONLY_SIGNAL","LOW","Do not block unless AST confirms executable command or write boundary is enabled."
"canonical","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_KEY_REPAIR_ROOTCAUSE_SMART_REMAP_v027811_20260610_221501\runtime\vdf_akshare_key_repair_rootcause_smart_remap_v027811.py",".py","TEXT_ONLY_SIGNAL","LOW","Do not block unless AST confirms executable command or write boundary is enabled."
"DATABASE","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_NARROW_SOURCE_CONTRACT_DRYRUN_HOTFIX_v027821_20260611_002618\backup\VDF_ACTIVE_POINTER_before_v027821_20260611_002618.json",".json","TEXT_ONLY_SIGNAL","LOW","Do not block unless AST confirms executable command or write boundary is enabled."
"canonical","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_NARROW_SOURCE_CONTRACT_DRYRUN_HOTFIX_v027821_20260611_002618\backup\VDF_ACTIVE_POINTER_before_v027821_20260611_002618.json",".json","TEXT_ONLY_SIGNAL","LOW","Do not block unless AST confirms executable command or write boundary is enabled."
"Stop-Process","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_NARROW_SOURCE_CONTRACT_DRYRUN_HOTFIX_v027821_20260611_002618\backup\VDF_ACTIVE_POINTER_before_v027821_20260611_002618.json",".json","TEXT_ONLY_SIGNAL","LOW","Do not block unless AST confirms executable command or write boundary is enabled."
"canonical","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_NARROW_SOURCE_CONTRACT_DRYRUN_HOTFIX_v027821_20260611_002618\plan\VDF_AkShare_NarrowSource_CanonicalKeyContract_Hotfix_v027821.json",".json","TEXT_ONLY_SIGNAL","LOW","Do not block unless AST confirms executable command or write boundary is enabled."
"DATABASE","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_NARROW_SOURCE_CONTRACT_DRYRUN_HOTFIX_v027821_20260611_002618\plan\VDF_AkShare_NarrowSource_ExecutionGateReview_Hotfix_v027821.json",".json","TEXT_ONLY_SIGNAL","LOW","Do not block unless AST confirms executable command or write boundary is enabled."
"canonical","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_NARROW_SOURCE_CONTRACT_DRYRUN_HOTFIX_v027821_20260611_002618\plan\VDF_AkShare_NarrowSource_ExecutionGateReview_Hotfix_v027821.json",".json","TEXT_ONLY_SIGNAL","LOW","Do not block unless AST confirms executable command or write boundary is enabled."
"DATABASE","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_NARROW_SOURCE_CONTRACT_DRYRUN_HOTFIX_v027821_20260611_002618\registry\VDF_AkShare_NarrowSourceContractDryRun_Hotfix_Matrix_v027821.csv",".csv","TEXT_ONLY_SIGNAL","LOW","Do not block unless AST confirms executable command or write boundary is enabled."
"canonical","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_NARROW_SOURCE_CONTRACT_DRYRUN_HOTFIX_v027821_20260611_002618\registry\VDF_AkShare_NarrowSourceContractDryRun_Hotfix_Matrix_v027821.csv",".csv","TEXT_ONLY_SIGNAL","LOW","Do not block unless AST confirms executable command or write boundary is enabled."
"DATABASE","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_NARROW_SOURCE_CONTRACT_DRYRUN_HOTFIX_v027821_20260611_002618\registry\VDF_AkShare_NarrowSourceContractDryRun_Hotfix_Matrix_v027821.json",".json","TEXT_ONLY_SIGNAL","LOW","Do not block unless AST confirms executable command or write boundary is enabled."
"canonical","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_NARROW_SOURCE_CONTRACT_DRYRUN_HOTFIX_v027821_20260611_002618\registry\VDF_AkShare_NarrowSourceContractDryRun_Hotfix_Matrix_v027821.json",".json","TEXT_ONLY_SIGNAL","LOW","Do not block unless AST confirms executable command or write boundary is enabled."
"canonical","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_NARROW_SOURCE_CONTRACT_DRYRUN_HOTFIX_v027821_20260611_002618\registry\VDF_Top10_LocalFreeLibs_NarrowSourceContractDryRun_Hotfix_v027821.json",".json","TEXT_ONLY_SIGNAL","LOW","Do not block unless AST confirms executable command or write boundary is enabled."
"DATABASE","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_NARROW_SOURCE_CONTRACT_DRYRUN_HOTFIX_v027821_20260611_002618\report\VDF_AkShare_NarrowSourceContractDryRun_Hotfix_Report_v027821.html",".html","TEXT_ONLY_SIGNAL","LOW","Do not block unless AST confirms executable command or write boundary is enabled."
"canonical","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_NARROW_SOURCE_CONTRACT_DRYRUN_HOTFIX_v027821_20260611_002618\report\VDF_AkShare_NarrowSourceContractDryRun_Hotfix_Report_v027821.html",".html","TEXT_ONLY_SIGNAL","LOW","Do not block unless AST confirms executable command or write boundary is enabled."
"canonical","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_NARROW_SOURCE_CONTRACT_DRYRUN_HOTFIX_v027821_20260611_002618\runtime\vdf_akshare_narrow_source_contract_dryrun_hotfix_result_v027821.json",".json","TEXT_ONLY_SIGNAL","LOW","Do not block unless AST confirms executable command or write boundary is enabled."
"DATABASE","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_NARROW_SOURCE_CONTRACT_DRYRUN_HOTFIX_v027821_20260611_002618\runtime\vdf_akshare_narrow_source_contract_dryrun_hotfix_v027821.py",".py","TEXT_ONLY_SIGNAL","LOW","Do not block unless AST confirms executable command or write boundary is enabled."
"canonical","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_NARROW_SOURCE_CONTRACT_DRYRUN_HOTFIX_v027821_20260611_002618\runtime\vdf_akshare_narrow_source_contract_dryrun_hotfix_v027821.py",".py","TEXT_ONLY_SIGNAL","LOW","Do not block unless AST confirms executable command or write boundary is enabled."
"DATABASE","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_NARROW_SOURCE_CONTRACT_DRYRUN_v02782_20260611_002315\backup\VDF_ACTIVE_POINTER_before_v02782_20260611_002315.json",".json","TEXT_ONLY_SIGNAL","LOW","Do not block unless AST confirms executable command or write boundary is enabled."
"canonical","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_NARROW_SOURCE_CONTRACT_DRYRUN_v02782_20260611_002315\backup\VDF_ACTIVE_POINTER_before_v02782_20260611_002315.json",".json","TEXT_ONLY_SIGNAL","LOW","Do not block unless AST confirms executable command or write boundary is enabled."
"Stop-Process","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_NARROW_SOURCE_CONTRACT_DRYRUN_v02782_20260611_002315\backup\VDF_ACTIVE_POINTER_before_v02782_20260611_002315.json",".json","TEXT_ONLY_SIGNAL","LOW","Do not block unless AST confirms executable command or write boundary is enabled."
"canonical","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_NARROW_SOURCE_CONTRACT_DRYRUN_v02782_20260611_002315\plan\VDF_AkShare_NarrowSource_CanonicalKeyContract_v02782.json",".json","TEXT_ONLY_SIGNAL","LOW","Do not block unless AST confirms executable command or write boundary is enabled."
"DATABASE","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_NARROW_SOURCE_CONTRACT_DRYRUN_v02782_20260611_002315\plan\VDF_AkShare_NarrowSource_ExecutionGateReview_v02782.json",".json","TEXT_ONLY_SIGNAL","LOW","Do not block unless AST confirms executable command or write boundary is enabled."
"canonical","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_NARROW_SOURCE_CONTRACT_DRYRUN_v02782_20260611_002315\plan\VDF_AkShare_NarrowSource_ExecutionGateReview_v02782.json",".json","TEXT_ONLY_SIGNAL","LOW","Do not block unless AST confirms executable command or write boundary is enabled."
"DATABASE","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_NARROW_SOURCE_CONTRACT_DRYRUN_v02782_20260611_002315\registry\VDF_AkShare_NarrowSourceContractDryRun_Matrix_v02782.csv",".csv","TEXT_ONLY_SIGNAL","LOW","Do not block unless AST confirms executable command or write boundary is enabled."
"canonical","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_NARROW_SOURCE_CONTRACT_DRYRUN_v02782_20260611_002315\registry\VDF_AkShare_NarrowSourceContractDryRun_Matrix_v02782.csv",".csv","TEXT_ONLY_SIGNAL","LOW","Do not block unless AST confirms executable command or write boundary is enabled."
"DATABASE","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_NARROW_SOURCE_CONTRACT_DRYRUN_v02782_20260611_002315\registry\VDF_AkShare_NarrowSourceContractDryRun_Matrix_v02782.json",".json","TEXT_ONLY_SIGNAL","LOW","Do not block unless AST confirms executable command or write boundary is enabled."
"canonical","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_NARROW_SOURCE_CONTRACT_DRYRUN_v02782_20260611_002315\registry\VDF_AkShare_NarrowSourceContractDryRun_Matrix_v02782.json",".json","TEXT_ONLY_SIGNAL","LOW","Do not block unless AST confirms executable command or write boundary is enabled."
"canonical","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_NARROW_SOURCE_CONTRACT_DRYRUN_v02782_20260611_002315\registry\VDF_Top10_LocalFreeLibs_NarrowSourceContractDryRun_v02782.json",".json","TEXT_ONLY_SIGNAL","LOW","Do not block unless AST confirms executable command or write boundary is enabled."
"DATABASE","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_NARROW_SOURCE_CONTRACT_DRYRUN_v02782_20260611_002315\report\VDF_AkShare_NarrowSourceContractDryRun_Report_v02782.html",".html","TEXT_ONLY_SIGNAL","LOW","Do not block unless AST confirms executable command or write boundary is enabled."
"canonical","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_NARROW_SOURCE_CONTRACT_DRYRUN_v02782_20260611_002315\report\VDF_AkShare_NarrowSourceContractDryRun_Report_v02782.html",".html","TEXT_ONLY_SIGNAL","LOW","Do not block unless AST confirms executable command or write boundary is enabled."
"canonical","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_NARROW_SOURCE_CONTRACT_DRYRUN_v02782_20260611_002315\runtime\vdf_akshare_narrow_source_contract_dryrun_result_v02782.json",".json","TEXT_ONLY_SIGNAL","LOW","Do not block unless AST confirms executable command or write boundary is enabled."
"DATABASE","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_NARROW_SOURCE_CONTRACT_DRYRUN_v02782_20260611_002315\runtime\vdf_akshare_narrow_source_contract_dryrun_v02782.py",".py","TEXT_ONLY_SIGNAL","LOW","Do not block unless AST confirms executable command or write boundary is enabled."
"canonical","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_NARROW_SOURCE_CONTRACT_DRYRUN_v02782_20260611_002315\runtime\vdf_akshare_narrow_source_contract_dryrun_v02782.py",".py","TEXT_ONLY_SIGNAL","LOW","Do not block unless AST confirms executable command or write boundary is enabled."
"canonical","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_NARROW_SOURCE_FILELIST_CANONICALIZER_v027822_20260611_004445\preview\VDF_AkShare_NarrowSource_ContractDryRunPreview_Canonicalizer_v027822.csv",".csv","TEXT_ONLY_SIGNAL","LOW","Do not block unless AST confirms executable command or write boundary is enabled."
"canonical","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_NARROW_SOURCE_FILELIST_CANONICALIZER_v027822_20260611_004445\preview\VDF_AkShare_NarrowSource_ContractDryRunPreview_Canonicalizer_v027822.json",".json","TEXT_ONLY_SIGNAL","LOW","Do not block unless AST confirms executable command or write boundary is enabled."
"canonical","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_NARROW_SOURCE_FILELIST_CANONICALIZER_v027822_20260611_004445\preview\VDF_AkShare_NarrowSource_DuplicateRows_Canonicalizer_v027822.csv",".csv","TEXT_ONLY_SIGNAL","LOW","Do not block unless AST confirms executable command or write boundary is enabled."
"canonical","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_NARROW_SOURCE_FILELIST_CANONICALIZER_v027822_20260611_004445\preview\VDF_AkShare_NarrowSource_InvalidRows_Canonicalizer_v027822.csv",".csv","TEXT_ONLY_SIGNAL","LOW","Do not block unless AST confirms executable command or write boundary is enabled."
"DATABASE","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_NARROW_SOURCE_FILELIST_CANONICALIZER_v027822_20260611_004445\registry\VDF_AkShare_NarrowSource_RawColumnProfile_Canonicalizer_v027822.csv",".csv","TEXT_ONLY_SIGNAL","LOW","Do not block unless AST confirms executable command or write boundary is enabled."
"canonical","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_NARROW_SOURCE_FILELIST_CANONICALIZER_v027822_20260611_004445\registry\VDF_AkShare_NarrowSource_RawColumnProfile_Canonicalizer_v027822.csv",".csv","TEXT_ONLY_SIGNAL","LOW","Do not block unless AST confirms executable command or write boundary is enabled."
"canonical","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_NARROW_SOURCE_FILELIST_CANONICALIZER_v027822_20260611_004445\registry\VDF_AkShare_NarrowSource_RootCause_Canonicalizer_v027822.csv",".csv","TEXT_ONLY_SIGNAL","LOW","Do not block unless AST confirms executable command or write boundary is enabled."
"DATABASE","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_NARROW_SOURCE_FILELIST_CANONICALIZER_v027822_20260611_004445\report\VDF_AkShare_NarrowSourceFileListCanonicalizer_Report_v027822.html",".html","TEXT_ONLY_SIGNAL","LOW","Do not block unless AST confirms executable command or write boundary is enabled."
"canonical","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_NARROW_SOURCE_FILELIST_CANONICALIZER_v027822_20260611_004445\report\VDF_AkShare_NarrowSourceFileListCanonicalizer_Report_v027822.html",".html","TEXT_ONLY_SIGNAL","LOW","Do not block unless AST confirms executable command or write boundary is enabled."
"canonical","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_NARROW_SOURCE_FILELIST_CANONICALIZER_v027822_20260611_004445\runtime\vdf_akshare_narrow_source_filelist_canonicalizer_result_v027822.json",".json","TEXT_ONLY_SIGNAL","LOW","Do not block unless AST confirms executable command or write boundary is enabled."
"canonical","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_NARROW_SOURCE_FILELIST_CANONICALIZER_v027822_20260611_004445\runtime\vdf_akshare_narrow_source_filelist_canonicalizer_v027822.py",".py","TEXT_ONLY_SIGNAL","LOW","Do not block unless AST confirms executable command or write boundary is enabled."
"DATABASE","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_RAW_COLUMN_PROFILE_CANONICAL_CONTRACT_HOTFIX_v0278121_20260611_001912\backup\VDF_ACTIVE_POINTER_before_v0278121_20260611_001912.json",".json","TEXT_ONLY_SIGNAL","LOW","Do not block unless AST confirms executable command or write boundary is enabled."
"canonical","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_RAW_COLUMN_PROFILE_CANONICAL_CONTRACT_HOTFIX_v0278121_20260611_001912\backup\VDF_ACTIVE_POINTER_before_v0278121_20260611_001912.json",".json","TEXT_ONLY_SIGNAL","LOW","Do not block unless AST confirms executable command or write boundary is enabled."
"Stop-Process","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_RAW_COLUMN_PROFILE_CANONICAL_CONTRACT_HOTFIX_v0278121_20260611_001912\backup\VDF_ACTIVE_POINTER_before_v0278121_20260611_001912.json",".json","TEXT_ONLY_SIGNAL","LOW","Do not block unless AST confirms executable command or write boundary is enabled."
"canonical","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_RAW_COLUMN_PROFILE_CANONICAL_CONTRACT_HOTFIX_v0278121_20260611_001912\plan\VDF_AkShare_CanonicalKeyContract_Hotfix_v0278121.json",".json","TEXT_ONLY_SIGNAL","LOW","Do not block unless AST confirms executable command or write boundary is enabled."
"canonical","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_RAW_COLUMN_PROFILE_CANONICAL_CONTRACT_HOTFIX_v0278121_20260611_001912\plan\VDF_AkShare_RemapPatchPlan_Hotfix_v0278121.json",".json","TEXT_ONLY_SIGNAL","LOW","Do not block unless AST confirms executable command or write boundary is enabled."
"canonical","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_RAW_COLUMN_PROFILE_CANONICAL_CONTRACT_HOTFIX_v0278121_20260611_001912\preview\VDF_AkShare_CanonicalContractDuplicateRows_Hotfix_v0278121.csv",".csv","TEXT_ONLY_SIGNAL","LOW","Do not block unless AST confirms executable command or write boundary is enabled."
"DATABASE","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_RAW_COLUMN_PROFILE_CANONICAL_CONTRACT_HOTFIX_v0278121_20260611_001912\preview\VDF_AkShare_CanonicalContractInvalidRows_Hotfix_v0278121.csv",".csv","TEXT_ONLY_SIGNAL","LOW","Do not block unless AST confirms executable command or write boundary is enabled."
"canonical","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_RAW_COLUMN_PROFILE_CANONICAL_CONTRACT_HOTFIX_v0278121_20260611_001912\preview\VDF_AkShare_CanonicalContractInvalidRows_Hotfix_v0278121.csv",".csv","TEXT_ONLY_SIGNAL","LOW","Do not block unless AST confirms executable command or write boundary is enabled."
"DATABASE","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_RAW_COLUMN_PROFILE_CANONICAL_CONTRACT_HOTFIX_v0278121_20260611_001912\preview\VDF_AkShare_CanonicalContractPreview_Hotfix_v0278121.csv",".csv","TEXT_ONLY_SIGNAL","LOW","Do not block unless AST confirms executable command or write boundary is enabled."
"canonical","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_RAW_COLUMN_PROFILE_CANONICAL_CONTRACT_HOTFIX_v0278121_20260611_001912\preview\VDF_AkShare_CanonicalContractPreview_Hotfix_v0278121.csv",".csv","TEXT_ONLY_SIGNAL","LOW","Do not block unless AST confirms executable command or write boundary is enabled."
"DATABASE","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_RAW_COLUMN_PROFILE_CANONICAL_CONTRACT_HOTFIX_v0278121_20260611_001912\preview\VDF_AkShare_CanonicalContractPreview_Hotfix_v0278121.json",".json","TEXT_ONLY_SIGNAL","LOW","Do not block unless AST confirms executable command or write boundary is enabled."
"canonical","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_RAW_COLUMN_PROFILE_CANONICAL_CONTRACT_HOTFIX_v0278121_20260611_001912\preview\VDF_AkShare_CanonicalContractPreview_Hotfix_v0278121.json",".json","TEXT_ONLY_SIGNAL","LOW","Do not block unless AST confirms executable command or write boundary is enabled."
"DATABASE","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_RAW_COLUMN_PROFILE_CANONICAL_CONTRACT_HOTFIX_v0278121_20260611_001912\registry\VDF_AkShare_RawColumnProfileCanonicalContract_Hotfix_Matrix_v0278121.csv",".csv","TEXT_ONLY_SIGNAL","LOW","Do not block unless AST confirms executable command or write boundary is enabled."
"canonical","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_RAW_COLUMN_PROFILE_CANONICAL_CONTRACT_HOTFIX_v0278121_20260611_001912\registry\VDF_AkShare_RawColumnProfileCanonicalContract_Hotfix_Matrix_v0278121.csv",".csv","TEXT_ONLY_SIGNAL","LOW","Do not block unless AST confirms executable command or write boundary is enabled."
"DATABASE","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_RAW_COLUMN_PROFILE_CANONICAL_CONTRACT_HOTFIX_v0278121_20260611_001912\registry\VDF_AkShare_RawColumnProfileCanonicalContract_Hotfix_Matrix_v0278121.json",".json","TEXT_ONLY_SIGNAL","LOW","Do not block unless AST confirms executable command or write boundary is enabled."
"canonical","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_RAW_COLUMN_PROFILE_CANONICAL_CONTRACT_HOTFIX_v0278121_20260611_001912\registry\VDF_AkShare_RawColumnProfileCanonicalContract_Hotfix_Matrix_v0278121.json",".json","TEXT_ONLY_SIGNAL","LOW","Do not block unless AST confirms executable command or write boundary is enabled."
"DATABASE","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_RAW_COLUMN_PROFILE_CANONICAL_CONTRACT_HOTFIX_v0278121_20260611_001912\registry\VDF_AkShare_RawColumnProfile_Hotfix_v0278121.csv",".csv","TEXT_ONLY_SIGNAL","LOW","Do not block unless AST confirms executable command or write boundary is enabled."
"canonical","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_RAW_COLUMN_PROFILE_CANONICAL_CONTRACT_HOTFIX_v0278121_20260611_001912\registry\VDF_AkShare_RawColumnProfile_Hotfix_v0278121.csv",".csv","TEXT_ONLY_SIGNAL","LOW","Do not block unless AST confirms executable command or write boundary is enabled."
"Stop-Process","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_RAW_COLUMN_PROFILE_CANONICAL_CONTRACT_HOTFIX_v0278121_20260611_001912\registry\VDF_AkShare_RawColumnProfile_Hotfix_v0278121.csv",".csv","TEXT_ONLY_SIGNAL","LOW","Do not block unless AST confirms executable command or write boundary is enabled."
"DATABASE","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_RAW_COLUMN_PROFILE_CANONICAL_CONTRACT_HOTFIX_v0278121_20260611_001912\registry\VDF_AkShare_RawColumnProfile_Hotfix_v0278121.json",".json","TEXT_ONLY_SIGNAL","LOW","Do not block unless AST confirms executable command or write boundary is enabled."
"canonical","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_RAW_COLUMN_PROFILE_CANONICAL_CONTRACT_HOTFIX_v0278121_20260611_001912\registry\VDF_AkShare_RawColumnProfile_Hotfix_v0278121.json",".json","TEXT_ONLY_SIGNAL","LOW","Do not block unless AST confirms executable command or write boundary is enabled."
"Stop-Process","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_RAW_COLUMN_PROFILE_CANONICAL_CONTRACT_HOTFIX_v0278121_20260611_001912\registry\VDF_AkShare_RawColumnProfile_Hotfix_v0278121.json",".json","TEXT_ONLY_SIGNAL","LOW","Do not block unless AST confirms executable command or write boundary is enabled."
"canonical","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_RAW_COLUMN_PROFILE_CANONICAL_CONTRACT_HOTFIX_v0278121_20260611_001912\registry\VDF_AkShare_RawColumnProfile_InputInventory_Hotfix_v0278121.csv",".csv","TEXT_ONLY_SIGNAL","LOW","Do not block unless AST confirms executable command or write boundary is enabled."
"canonical","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_RAW_COLUMN_PROFILE_CANONICAL_CONTRACT_HOTFIX_v0278121_20260611_001912\registry\VDF_AkShare_RawColumnProfile_InputInventory_Hotfix_v0278121.json",".json","TEXT_ONLY_SIGNAL","LOW","Do not block unless AST confirms executable command or write boundary is enabled."
"DATABASE","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_RAW_COLUMN_PROFILE_CANONICAL_CONTRACT_HOTFIX_v0278121_20260611_001912\registry\VDF_AkShare_RawColumnSelection_Hotfix_v0278121.csv",".csv","TEXT_ONLY_SIGNAL","LOW","Do not block unless AST confirms executable command or write boundary is enabled."
"canonical","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_RAW_COLUMN_PROFILE_CANONICAL_CONTRACT_HOTFIX_v0278121_20260611_001912\registry\VDF_AkShare_RawColumnSelection_Hotfix_v0278121.csv",".csv","TEXT_ONLY_SIGNAL","LOW","Do not block unless AST confirms executable command or write boundary is enabled."
"DATABASE","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_RAW_COLUMN_PROFILE_CANONICAL_CONTRACT_HOTFIX_v0278121_20260611_001912\registry\VDF_AkShare_RawColumnSelection_Hotfix_v0278121.json",".json","TEXT_ONLY_SIGNAL","LOW","Do not block unless AST confirms executable command or write boundary is enabled."
"canonical","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_RAW_COLUMN_PROFILE_CANONICAL_CONTRACT_HOTFIX_v0278121_20260611_001912\registry\VDF_AkShare_RawColumnSelection_Hotfix_v0278121.json",".json","TEXT_ONLY_SIGNAL","LOW","Do not block unless AST confirms executable command or write boundary is enabled."
